iter	Passed	Remaining
0	152	15053
1	153	7538
2	155	5025
3	156	3766
4	158	3008
5	159	2501
6	161	2139
7	162	1868
8	163	1656
9	165	1486
10	166	1346
11	167	1230
12	169	1133
13	170	1048
14	172	974
15	173	910
16	174	852
17	175	801
18	177	757
19	179	716
20	180	679
21	182	645
22	183	614
23	185	585
24	186	559
25	187	535
26	189	512
27	190	490
28	192	471
29	194	452
30	195	435
31	197	418
32	198	403
33	200	388
34	201	374
35	202	360
36	204	348
37	205	335
38	207	324
39	209	313
40	210	303
41	212	293
42	213	283
43	215	273
44	216	264
45	217	255
46	219	247
47	220	239
48	222	231
49	224	224
50	225	216
51	227	209
52	228	202
53	229	195
54	231	189
55	232	182
56	233	176
57	235	170
58	237	164
59	238	159
60	240	153
61	241	148
62	243	142
63	244	137
64	246	132
65	247	127
66	248	122
67	250	117
68	251	113
69	253	108
70	254	104
71	256	99
72	257	95
73	258	90
74	260	86
75	261	82
76	263	78
77	264	74
78	266	70
79	267	66
80	269	63
81	270	59
82	272	55
83	273	52
84	275	48
85	276	45
86	278	41
87	279	38
88	280	34
89	282	31
90	283	28
91	285	24
92	286	21
93	288	18
94	289	15
95	290	12
96	292	9
97	293	5
98	295	2
99	296	0
