iter	RMSE
0	0.750021345
1	0.7378130785
2	0.7221360217
3	0.7091979448
4	0.6940152756
5	0.6811160242
6	0.6724509283
7	0.6613931842
8	0.651625651
9	0.639166954
10	0.6308675017
11	0.6226154342
12	0.6170734595
13	0.6119128472
14	0.6012852975
15	0.5932022991
16	0.5879680091
17	0.5801957617
18	0.571661489
19	0.5626720168
20	0.5576109964
21	0.5529172839
22	0.5484934561
23	0.5440944251
24	0.5379742949
25	0.5338086886
26	0.5305314307
27	0.526974537
28	0.5223695013
29	0.5193860875
30	0.516798835
31	0.5139300646
32	0.5097696197
33	0.5068920172
34	0.5033284152
35	0.5001547772
36	0.4976090277
37	0.4944691511
38	0.4915746647
39	0.48896336
40	0.4866038151
41	0.4841785927
42	0.4812794472
43	0.4793212813
44	0.4765059743
45	0.4735194797
46	0.4713967623
47	0.4689125047
48	0.4661272621
49	0.4647990283
50	0.4618870978
51	0.4601148568
52	0.458243565
53	0.456744576
54	0.4544285066
55	0.4528703375
56	0.451823678
57	0.4495781493
58	0.4481584538
59	0.4467511777
60	0.4448303218
61	0.4426804484
62	0.4408823864
63	0.4394521345
64	0.4381938803
65	0.4362821276
66	0.4341803865
67	0.4335891448
68	0.4323385835
69	0.4312848623
70	0.4297817614
71	0.4286544972
72	0.4275463433
73	0.4261996541
74	0.4252169405
75	0.4237290185
76	0.4227954732
77	0.4219886842
78	0.4204226536
79	0.418714887
80	0.417644067
81	0.4169402898
82	0.4165959673
83	0.4162618246
84	0.4153964625
85	0.4137639891
86	0.4118398886
87	0.4109052585
88	0.4100337744
89	0.4091065412
90	0.4074079384
91	0.4067430585
92	0.4062327149
93	0.4055278708
94	0.4040932085
95	0.4033532389
96	0.4026722987
97	0.4018129521
98	0.4010126456
99	0.3986448457
