iter	Passed	Remaining
0	127	12602
1	128	6320
2	130	4219
3	132	3168
4	133	2537
5	135	2118
6	137	1822
7	138	1595
8	140	1417
9	141	1277
10	143	1162
11	145	1065
12	146	982
13	148	911
14	150	850
15	151	797
16	153	748
17	154	705
18	156	667
19	158	632
20	159	601
21	161	572
22	163	546
23	164	522
24	166	499
25	168	478
26	169	458
27	171	440
28	172	422
29	174	406
30	175	391
31	177	377
32	179	363
33	180	351
34	182	338
35	184	327
36	185	316
37	187	305
38	189	295
39	190	286
40	192	276
41	193	267
42	195	259
43	197	251
44	199	244
45	202	237
46	204	230
47	206	224
48	208	217
49	210	210
50	212	204
51	214	198
52	216	191
53	218	185
54	219	179
55	221	174
56	223	168
57	225	162
58	226	157
59	228	152
60	230	147
61	232	142
62	233	137
63	235	132
64	237	127
65	239	123
66	240	118
67	242	114
68	243	109
69	245	105
70	247	101
71	249	96
72	250	92
73	252	88
74	253	84
75	255	80
76	256	76
77	258	72
78	260	69
79	262	65
80	263	61
81	265	58
82	266	54
83	268	51
84	270	47
85	271	44
86	274	41
87	276	37
88	277	34
89	279	31
90	281	27
91	282	24
92	284	21
93	286	18
94	287	15
95	289	12
96	291	9
97	292	5
98	294	2
99	295	0
