date,value,index
2005-01-01,0.64,ENSO_ONI
2005-02-01,0.58,ENSO_ONI
2005-03-01,0.45,ENSO_ONI
2005-04-01,0.43,ENSO_ONI
2005-05-01,0.29,ENSO_ONI
2005-06-01,0.11,ENSO_ONI
2005-07-01,-0.06,ENSO_ONI
2005-08-01,-0.14,ENSO_ONI
2005-09-01,-0.11,ENSO_ONI
2005-10-01,-0.29,ENSO_ONI
2005-11-01,-0.57,ENSO_ONI
2005-12-01,-0.84,ENSO_ONI
2006-01-01,-0.85,ENSO_ONI
2006-02-01,-0.77,ENSO_ONI
2006-03-01,-0.57,ENSO_ONI
2006-04-01,-0.37,ENSO_ONI
2006-05-01,-0.14,ENSO_ONI
2006-06-01,-0.03,ENSO_ONI
2006-07-01,0.1,ENSO_ONI
2006-08-01,0.3,ENSO_ONI
2006-09-01,0.54,ENSO_ONI
2006-10-01,0.77,ENSO_ONI
2006-11-01,0.94,ENSO_ONI
2006-12-01,0.94,ENSO_ONI
2007-01-01,0.66,ENSO_ONI
2007-02-01,0.22,ENSO_ONI
2007-03-01,-0.12,ENSO_ONI
2007-04-01,-0.32,ENSO_ONI
2007-05-01,-0.38,ENSO_ONI
2007-06-01,-0.47,ENSO_ONI
2007-07-01,-0.56,ENSO_ONI
2007-08-01,-0.81,ENSO_ONI
2007-09-01,-1.07,ENSO_ONI
2007-10-01,-1.34,ENSO_ONI
2007-11-01,-1.5,ENSO_ONI
2007-12-01,-1.6,ENSO_ONI
2008-01-01,-1.64,ENSO_ONI
2008-02-01,-1.52,ENSO_ONI
2008-03-01,-1.29,ENSO_ONI
2008-04-01,-1.01,ENSO_ONI
2008-05-01,-0.84,ENSO_ONI
2008-06-01,-0.61,ENSO_ONI
2008-07-01,-0.37,ENSO_ONI
2008-08-01,-0.23,ENSO_ONI
2008-09-01,-0.24,ENSO_ONI
2008-10-01,-0.35,ENSO_ONI
2008-11-01,-0.55,ENSO_ONI
2008-12-01,-0.73,ENSO_ONI
2009-01-01,-0.85,ENSO_ONI
2009-02-01,-0.79,ENSO_ONI
2009-03-01,-0.61,ENSO_ONI
2009-04-01,-0.33,ENSO_ONI
2009-05-01,0.01,ENSO_ONI
2009-06-01,0.28,ENSO_ONI
2009-07-01,0.45,ENSO_ONI
2009-08-01,0.58,ENSO_ONI
2009-09-01,0.71,ENSO_ONI
2009-10-01,1.01,ENSO_ONI
2009-11-01,1.36,ENSO_ONI
2009-12-01,1.56,ENSO_ONI
2010-01-01,1.5,ENSO_ONI
2010-02-01,1.22,ENSO_ONI
2010-03-01,0.84,ENSO_ONI
2010-04-01,0.35,ENSO_ONI
