osm_id,osm_type,name,tags,geometry_wkt
57770479,way,Chamba Shahpur Via Dramman Road,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""1"", ""maxspeed"": ""30"", ""name"": ""Chamba Shahpur Via Dramman Road"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.1687171 32.2361768, 76.16874010830118 32.2361470196536)"
57770477,way,Chamba Shahpur Via Dramman Road,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""1"", ""maxspeed"": ""30"", ""name"": ""Chamba Shahpur Via Dramman Road"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.149616 32.237429, 76.1504359 32.2379016)"
316869425,way,,"{""bridge"": ""yes""}","LINESTRING (76.0644588 32.2880931, 76.0646036 32.2883153)"
57770305,way,Chamba Shahpur Via Dramman Road,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""0"", ""maxspeed"": ""30"", ""name"": ""Chamba Shahpur Via Dramman Road"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.1147362 32.2930136, 76.115541 32.2925702)"
57769587,way,Chamba Shahpur Via Dramman Road,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""1"", ""maxspeed"": ""30"", ""name"": ""Chamba Shahpur Via Dramman Road"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.0843743 32.3096576, 76.0843172 32.3095414, 76.0841175 32.3094315, 76.0837887 32.3093283, 76.0834981 32.3093172, 76.0832649 32.3093305, 76.08287 32.3093637, 76.0825402 32.3093438, 76.0822104 32.3093504, 76.0819748 32.3093504, 76.0817628 32.3092575, 76.0814959 32.3090584, 76.0812524 32.3088792, 76.0810247 32.3086735, 76.080852 32.308481, 76.0807684 32.308276, 76.0807838 32.3080634, 76.0811672 32.3075976, 76.0823174 32.3070305, 76.0839709 32.3063419, 76.0856243 32.3056735, 76.0866787 32.3052482, 76.0879008 32.3047216, 76.0883941 32.3044618, 76.0885021 32.3042922, 76.0885465 32.3037252, 76.0886197 32.3035671, 76.0887155 32.302919, 76.0893709 32.3020236, 76.0898657 32.3015214, 76.0902297 32.3011443, 76.0906896 32.3008845, 76.0920463 32.3005694, 76.0928611 32.3005492, 76.0939634 32.3008935, 76.0946244 32.3008582, 76.0951993 32.3006303, 76.0956802 32.3003004, 76.096439 32.3002446, 76.0969668 32.3004677, 76.0973957 32.3003283, 76.0977257 32.3005514, 76.0975987 32.3011177, 76.0978132 32.3012432, 76.0979896 32.3013043, 76.0986824 32.3014438, 76.0993093 32.3014438, 76.100497 32.3012765, 76.1013878 32.3009697, 76.1019817 32.3009418, 76.1028609 32.3003831, 76.1035207 32.2997553, 76.1039086 32.2992, 76.1044041 32.2984432, 76.1044561 32.2978742, 76.104753 32.297428, 76.1056768 32.2968424, 76.1061057 32.2964241, 76.1072274 32.2961452, 76.1080192 32.2960336, 76.108778 32.2956711, 76.1094424 32.2953123, 76.1105266 32.2952806, 76.1114778 32.2947223, 76.112968 32.2939699, 76.1141888 32.2933284, 76.1147362 32.2930136)"
1061905312,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (76.1110496 32.3046382, 76.1110765 32.3040715)"
1061905316,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (76.1203569 32.3079504, 76.1200994 32.3085148)"
1061905301,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (76.1584389 32.296252, 76.1586294 32.2961477)"
316869426,way,,"{""bridge"": ""yes"", ""highway"": ""path""}","LINESTRING (76.0805369 32.3091112, 76.0804271 32.3094513)"
57769586,way,Chamba Shahpur Via Dramman Road,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""0"", ""maxspeed"": ""30"", ""name"": ""Chamba Shahpur Via Dramman Road"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.0842912 32.3099782, 76.0843743 32.3096576)"
57769584,way,Khola Bridge,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""0"", ""maxspeed"": ""30"", ""name"": ""Khola Bridge"", ""oneway"": ""no"", ""ref"": ""SH43""}","LINESTRING (76.0840177 32.3127551, 76.0842202 32.3126224)"
627729873,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1"", ""oneway"": ""no""}","LINESTRING (76.0997068 32.3154704, 76.0998874 32.3150275)"
