osm_id,osm_type,name,tags,geometry_wkt
1370475653,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.4926698 31.3560674, 77.4925881 31.3560941)"
1370475651,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""source"": ""maxar""}","LINESTRING (77.5334061 31.3839589, 77.5333392 31.3839017)"
166463284,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.4842922 31.3542078, 77.4841904 31.3549622)"
558041754,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1""}","LINESTRING (77.3888835 31.4148727, 77.3885831 31.4151382)"
558041736,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1""}","LINESTRING (77.3510912 31.4468302, 77.3508002 31.4472215)"
1346390276,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.3673011 31.4901392, 77.36734 31.4899917)"
558041740,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (77.4074363 31.4956501, 77.4066505 31.4954694)"
547228609,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.5802672 31.397582, 77.580412 31.3964327)"
628420680,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.5749055 31.3978521, 77.575238 31.3979529)"
547228610,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.5893062 31.399473, 77.589612 31.3982413)"
514333942,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1""}","LINESTRING (77.6221177 31.4162804, 77.6211306 31.4161339)"
547228613,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.6247221 31.4396894, 77.6252371 31.4388244)"
1314717263,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.6276756 31.4432573, 77.62772118076073 31.44323236152145)"
1105529644,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.325334 31.4865929, 77.3249933 31.4866592)"
166382853,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.6309579 31.4517568, 77.6310903 31.4511672)"
1056695548,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified""}","LINESTRING (77.5543892 31.4541901, 77.5539038 31.4543892)"
1099947019,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""surface"": ""asphalt""}","LINESTRING (77.6804906 31.488728, 77.6807963 31.4887314)"
166270191,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.7047655 31.4986088, 77.705213 31.4982426)"
278685609,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1"", ""surface"": ""asphalt""}","LINESTRING (77.5597814 31.5203745, 77.55951 31.5203226)"
1099947015,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""tile"": ""2932,1669,12""}","LINESTRING (77.6975548 31.5421323, 77.6974851 31.5422831)"
1339707248,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.5349057 31.5471337, 77.5350639 31.5472229)"
1099947016,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.6804638 31.5500207, 77.6806194 31.5504481)"
1379100151,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.3527392 31.5866151, 77.3527508 31.5865342)"
526945825,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1""}","LINESTRING (77.3536915 31.58788, 77.3531711 31.5875732)"
526945822,way,,"{""bridge"": ""yes"", ""highway"": ""trunk"", ""layer"": ""1"", ""ref"": ""NH305"", ""source"": ""GPS""}","LINESTRING (77.3518574 31.5921371, 77.3516693 31.5920462)"
526998958,way,Banjar - Bathad Road,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1"", ""name"": ""Banjar - Bathad Road"", ""surface"": ""unpaved""}","LINESTRING (77.4815154 31.60129, 77.4814591 31.6015172)"
1529277977,way,Banjar - Bathad Road,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1"", ""name"": ""Banjar - Bathad Road"", ""surface"": ""unpaved""}","LINESTRING (77.445548 31.6175115, 77.4454751 31.6176031)"
1005323738,way,Thogi to Banjar,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""name"": ""Thogi to Banjar""}","LINESTRING (77.3413467 31.6315899, 77.3418249 31.6317734)"
1165555145,way,,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}","LINESTRING (77.4303008 31.6368137, 77.4302394 31.6367517)"
526849904,way,Banjar - Bathad Road,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1"", ""name"": ""Banjar - Bathad Road""}","LINESTRING (77.4284385 31.6376677, 77.4287624 31.6375855)"
