osm_id,osm_type,name,tags,geometry_wkt
49396745,way,MDR22,"{""bridge"": ""yes"", ""highway"": ""secondary"", ""maxspeed"": ""30"", ""name"": ""MDR22"", ""ref"": ""MDR22""}","LINESTRING (77.3096064 31.275368, 77.3095397 31.2754695)"
1286693626,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (77.1581514 31.2305291, 77.1575231 31.2309819)"
1108068980,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2314439 31.3526268, 77.2318093 31.3526043)"
1108068971,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2267156 31.3528733, 77.2262337 31.352737)"
1108068948,way,,"{""bridge"": ""yes"", ""highway"": ""service"", ""layer"": ""1""}","LINESTRING (77.2303918 31.357276, 77.2304826 31.3573499)"
1108068960,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2146305 31.3660199, 77.2145319 31.3658038)"
1107873378,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.344242 31.3359637, 77.3445488 31.3357616)"
737889195,way,,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}","LINESTRING (77.3863664 31.3595036, 77.3868267 31.3600354)"
428152450,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified""}","LINESTRING (77.1269918 31.2458279, 77.1253902 31.2458101)"
49395432,way,SH13,"{""bridge"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""1"", ""maxspeed"": ""30"", ""name"": ""SH13"", ""ref"": ""State Highway 13""}","LINESTRING (77.0876589 31.2476809, 77.08695691560372 31.24676597694071)"
794939011,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0802498 31.2974609, 77.0802793 31.2973051)"
660718522,way,,"{""bridge"": ""yes"", ""highway"": ""primary"", ""layer"": ""1"", ""ref"": ""SH13"", ""surface"": ""asphalt""}","LINESTRING (77.1342708 31.3850383, 77.1344143 31.3850257, 77.1345645 31.3849983)"
1346876483,way,,"{""bridge"": ""yes"", ""highway"": ""primary"", ""layer"": ""1"", ""ref"": ""SH13"", ""surface"": ""asphalt""}","LINESTRING (77.1250159 31.3873349, 77.1252103 31.3872559)"
794912956,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0524956 31.3878203, 77.0526472 31.3877276)"
794912953,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0570903 31.398397, 77.0570232 31.3981646)"
794912952,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0603022 31.3999653, 77.0603961 31.399734)"
794912951,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0693895 31.4064028, 77.0691857 31.4063387)"
794912962,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0486802 31.33502, 77.0483851 31.3350612)"
1110285105,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (76.9530299 31.3386144, 76.952865 31.3390623)"
794912958,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0488103 31.3697311, 77.0486467 31.3696361)"
794912957,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.0517084 31.3817261, 77.0516708 31.3815406)"
1333920247,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (76.9874963 31.4665381, 76.9878611 31.4664306)"
1110610144,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (76.9601807 31.4754737, 76.9601861 31.4756979)"
1108068956,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (77.2139715 31.376054, 77.2140051 31.3762915)"
1108068950,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2258637 31.38558, 77.2260312 31.3854802)"
1347873884,way,,"{""bridge"": ""yes"", ""highway"": ""secondary"", ""layer"": ""1"", ""ref"": ""MDR21"", ""surface"": ""asphalt""}","LINESTRING (77.2062082 31.4077427, 77.2062169 31.4078817)"
1347873886,way,,"{""bridge"": ""yes"", ""highway"": ""tertiary"", ""layer"": ""1""}","LINESTRING (77.19971 31.4276423, 77.1994713 31.4276561)"
1347880282,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""surface"": ""unpaved""}","LINESTRING (77.2335716 31.4937838, 77.23342 31.4938273)"
1347880283,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2283761 31.5048653, 77.2285853 31.5048871)"
609298372,way,,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}","LINESTRING (77.2249872 31.5119915, 77.2249362 31.5118886)"
609298362,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""surface"": ""unpaved""}","LINESTRING (77.2242549 31.5120217, 77.2240067 31.512319)"
1351564895,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2206084 31.5213646, 77.2210054 31.5212869)"
1108378701,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""level"": ""1""}","LINESTRING (77.215586 31.5309557, 77.215755 31.5307385)"
547285435,way,,"{""bridge"": ""yes"", ""highway"": ""secondary"", ""layer"": ""1"", ""ref"": ""MDR21""}","LINESTRING (77.3844364 31.3629086, 77.384879 31.3627185)"
1018379452,way,,"{""bridge"": ""yes"", ""highway"": ""secondary"", ""layer"": ""1"", ""ref"": ""MDR21"", ""surface"": ""asphalt""}","LINESTRING (77.3332357 31.3662409, 77.3328036 31.3659553)"
1334593440,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.2734801 31.4641108, 77.2734654 31.46393)"
1105529678,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.3257014 31.4699949, 77.325146 31.4700804)"
737892494,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (77.3235932 31.4746364, 77.3236359 31.4746748)"
557920324,way,,"{""bridge"": ""yes"", ""highway"": ""track"", ""layer"": ""1""}","LINESTRING (77.3014703 31.5626668, 77.3016849 31.5627171)"
1108393750,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""level"": ""1""}","LINESTRING (77.135731 31.4105584, 77.1359589 31.4107615)"
1345046505,way,,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1""}","LINESTRING (77.1323893 31.4166398, 77.1325931 31.4166077)"
1345206122,way,,"{""bridge"": ""yes"", ""highway"": ""primary"", ""layer"": ""1"", ""ref"": ""SH13"", ""surface"": ""asphalt""}","LINESTRING (77.0729059 31.4409252, 77.0730588 31.4408634)"
529376133,way,,"{""bridge"": ""yes"", ""highway"": ""residential"", ""layer"": ""1"", ""oneway"": ""no""}","LINESTRING (77.1223293 31.4759506, 77.1224181 31.4758013)"
529376135,way,Jahal Devidarh Road,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""name"": ""Jahal Devidarh Road"", ""oneway"": ""no""}","LINESTRING (77.1083292 31.4781162, 77.1079835 31.477977)"
529445729,way,Jahal Road,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""name"": ""Jahal Road"", ""oneway"": ""no""}","LINESTRING (77.0902962 31.4923948, 77.0901645 31.4928095)"
529376137,way,Jahal Devidarh Road,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""name"": ""Jahal Devidarh Road"", ""oneway"": ""no""}","LINESTRING (77.0745953 31.5058703, 77.074845 31.5055019)"
529445718,way,Jahal Road,"{""bridge"": ""yes"", ""highway"": ""unclassified"", ""layer"": ""1"", ""name"": ""Jahal Road"", ""oneway"": ""no""}","LINESTRING (77.0725666 31.5164043, 77.0725705 31.5162469)"
