osm_id,osm_type,name,tags,geometry_wkt
6712309193,node,Panchayat Bhawan Dinghidhar,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Dinghidhar"", ""office"": ""government""}",POINT (77.4130115 31.3816167)
6712309194,node,Panchayat Bhawan Dalash,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Dalash"", ""office"": ""government""}",POINT (77.4343 31.3876197)
6712309196,node,Panchayat Bhawan Taluna,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Taluna"", ""office"": ""government""}",POINT (77.3974645 31.392553)
6712322213,node,Panchayat Bhawan Namhong,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Namhong"", ""office"": ""government""}",POINT (77.42611 31.4157125)
6712250972,node,Panchayat Bhawan Anni,"{""addr:city"": ""Anni"", ""government"": ""office"", ""name"": ""Panchayat Bhawan Anni"", ""office"": ""government""}",POINT (77.4170607 31.4331306)
6712322216,node,Panchayat Bhawan Kungash,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Kungash"", ""office"": ""government""}",POINT (77.3949444 31.441004)
6712250976,node,Panchayat Bhawan Karana,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Karana"", ""office"": ""government""}",POINT (77.4085796 31.4610267)
6712309189,node,Panchayat Bhawan Pokhari,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Pokhari"", ""office"": ""government""}",POINT (77.3795259 31.4769606)
6712309190,node,Panchayat Bhawan Muhan,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Muhan"", ""office"": ""government""}",POINT (77.3675847 31.4868331)
6712322210,node,Panchayat Bhawan Palethi,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Palethi"", ""office"": ""government""}",POINT (77.4762785 31.3724438)
6712309195,node,Panchayat Bhawan Biungal,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Biungal"", ""office"": ""government""}",POINT (77.4406051 31.392434)
6712322211,node,Panchayat Bhawan Kuther,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Kuther"", ""office"": ""government""}",POINT (77.4766164 31.3969077)
6712322212,node,Panchayat Bhawan Jaban,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Jaban"", ""office"": ""government""}",POINT (77.4428765 31.4141556)
6712250973,node,Panchayat Bhawan Bakhnow,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Bakhnow"", ""office"": ""government""}",POINT (77.4380088 31.4356892)
6712250974,node,Panchayat Bhawan Chowai,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Chowai"", ""office"": ""government""}",POINT (77.4422869 31.4456713)
6712250975,node,Panchayat Bhawan Shilli,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Shilli"", ""office"": ""government""}",POINT (77.4496603 31.45268)
6712250977,node,Panchayat Bhawan Kamand,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Kamand"", ""office"": ""government""}",POINT (77.4367106 31.4656436)
6712250978,node,Panchayat Bhawan Deothi,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Deothi"", ""office"": ""government""}",POINT (77.4571866 31.4693406)
6712250979,node,Panchayat Bhawan Kohila,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Kohila"", ""office"": ""government""}",POINT (77.4479973 31.4825489)
6712250980,node,Panchayat Bhawan Khani,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Khani"", ""office"": ""government""}",POINT (77.4260408 31.4951607)
6712309191,node,Panchayat Bhawan Karad,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Karad"", ""office"": ""government""}",POINT (77.3769993 31.4974089)
6712250982,node,Panchayat Bhawan Khanag,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Khanag"", ""office"": ""government""}",POINT (77.4020457 31.5191033)
6712250983,node,Panchayat Bhawan Lajheri,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Lajheri"", ""office"": ""government""}",POINT (77.4029899 31.5222472)
9734008622,node,Panchayat headquarter Gada Parli,"{""government"": ""administrative"", ""name"": ""Panchayat headquarter Gada Parli"", ""office"": ""government""}",POINT (77.4118325 31.7816131)
6712322214,node,Panchayat Bhawan Munddal,"{""name"": ""Panchayat Bhawan Munddal"", ""office"": ""government""}",POINT (77.3631602 31.4450406)
6712322215,node,Panchayat Bhawan Ropa,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Ropa"", ""office"": ""government""}",POINT (77.3668992 31.4519098)
6712309188,node,Panchayat Bhawan Bishladhar,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Bishladhar"", ""office"": ""government""}",POINT (77.3466206 31.4661172)
6712309187,node,Panchayat Bhawan Takrasi,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Takrasi"", ""office"": ""government""}",POINT (77.3315787 31.4781181)
6712309186,node,Panchayat Bhawan Lagauti,"{""name"": ""Panchayat Bhawan Lagauti"", ""office"": ""government""}",POINT (77.3347545 31.4995861)
6712309185,node,Panchayat Bhawan Karshaigaad,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Karshaigaad"", ""office"": ""government""}",POINT (77.3310745 31.5023121)
6712250984,node,Panchayat Bhawan Fanauti,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Fanauti"", ""office"": ""government""}",POINT (77.338016 31.5165539)
2837335241,node,PWD Office,"{""addr:city"": ""Kullu"", ""addr:housenumber"": ""Office of the Superintending Engineer, 6th Circle"", ""addr:postcode"": ""175101"", ""addr:street"": ""Kullu - Telang Road"", ""name"": ""PWD Office"", ""office"": ""government""}",POINT (77.1078686 31.9592426)
6712250981,node,Panchayat Bhawan Buchher,"{""government"": ""office"", ""name"": ""Panchayat Bhawan Buchher"", ""office"": ""government""}",POINT (77.4730599 31.4998811)
