osm_id,osm_type,name,tags,geometry_wkt
583541932,node,"Police Station, Sundernagar","{""amenity"": ""police"", ""name"": ""Police Station, Sundernagar""}",POINT (76.8843342 31.5154506)
7113550525,node,Police House,"{""amenity"": ""police"", ""name"": ""Police House""}",POINT (76.8846256 31.5173964)
1195234854,node,,"{""amenity"": ""police""}",POINT (76.8349647 31.6317904)
2902817480,node,Police Station Joginder Nagar,"{""amenity"": ""police"", ""name"": ""Police Station Joginder Nagar""}",POINT (76.7921963 31.9895642)
583231091,node,Sundernagar Colony Police Station,"{""amenity"": ""police"", ""name"": ""Sundernagar Colony Police Station""}",POINT (76.9084089 31.5317179)
5577786686,node,Woman Police Station,"{""amenity"": ""police"", ""name"": ""Woman Police Station""}",POINT (76.943878 31.7033484)
5578095775,node,Police Lines Mandi,"{""amenity"": ""police"", ""branch"": ""Mandi"", ""name"": ""Police Lines Mandi""}",POINT (76.9357126 31.7058375)
1834133318,node,Police Station Sadar Mandi,"{""amenity"": ""police"", ""name"": ""Police Station Sadar Mandi""}",POINT (76.9358386 31.7079865)
9838860010,node,Aut Police Station,"{""amenity"": ""police"", ""name"": ""Aut Police Station""}",POINT (77.2019574 31.712001)
2902782566,node,Police station Aut,"{""amenity"": ""police"", ""name"": ""Police station Aut""}",POINT (77.2083245 31.7436305)
