osm_id,osm_type,name,tags,geometry_wkt
7165541952,node,"Government Hospital, Holi","{""addr:block"": ""Bharmaur"", ""addr:district"": ""Chamba"", ""addr:full"": ""Near HPSEB Sub Station, Kuleth, Hinsa"", ""addr:postcode"": ""176309"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Brahmaur"", ""amenity"": ""hospital"", ""name"": ""Government Hospital, Holi"", ""source"": ""OpenGovernmentData""}",POINT (76.5577852 32.3261529)
6988130931,node,"Civil Hospital, Chowari","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Shahpur-Chowari Road, Near Radha Krishna Temple, Chowari"", ""addr:postcode"": ""176302"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""description"": ""Civil Hospital"", ""name"": ""Civil Hospital, Chowari"", ""operator:type"": ""government"", ""pincode"": ""176302"", ""source"": ""OpenGovernmentData""}",POINT (76.0132335 32.4294899)
7165542027,node,"Hospital, Churi","{""addr:block"": ""Choori"", ""addr:district"": ""Chamba"", ""addr:full"": ""MDR52, Dharwala, Churi"", ""addr:postcode"": ""176311"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Hospital, Churi"", ""source"": ""OpenGovernmentData""}",POINT (76.2916356 32.4786262)
6988234519,node,"Civil Hospital, Dalhousi","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Subhash Chowk Road, Opp. SDM Court, Dalhousie"", ""addr:postcode"": ""176304"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""contact:phone"": ""1899242125"", ""description"": ""Civil Hospital"", ""name"": ""Civil Hospital, Dalhousi"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (75.9639291 32.5312043)
7637726864,node,Arpana Charitable Hospital,"{""addr:district"": ""Chamba"", ""addr:full"": ""Dhupguri, Dalhousie"", ""addr:postcode"": ""176304"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Arpana Charitable Hospital"", ""source"": ""Local Knowledge""}",POINT (75.987786 32.538906)
7637726857,node,Ashirwad Hospital,"{""addr:district"": ""Chamba"", ""addr:full"": ""Vaikunth Nagar, Banikhet"", ""addr:postcode"": ""176303"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Ashirwad Hospital"", ""source"": ""Local Knowledge""}",POINT (75.950009 32.554153)
6986550290,node,"Sukhmani Hospital, Chamba","{""addr:district"": ""Chamba"", ""addr:full"": ""Near Bus Stand"", ""addr:postcode"": ""176310"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Sukhmani Hospital, Chamba"", ""source"": ""OpenGovernmentData""}",POINT (76.1232698 32.554941)
7007152171,node,"Regional Hospital, Chamba","{""addr:district"": ""Chamba"", ""addr:full"": ""Chamba"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Regional Hospital, Chamba"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (76.1221057 32.558687)
7165541996,node,"Government Hospital, Kakira","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Kakira School Road, Near Post Office, Kakira"", ""addr:postcode"": ""176313"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Government Hospital, Kakira"", ""source"": ""OpenGovernmentData""}",POINT (75.9345389 32.4557696)
526446602,way,Military Hospital,"{""addr:city"": ""Bakloh"", ""addr:postcode"": ""176301"", ""addr:street"": ""Kakira to Bakloh via Kaluganj"", ""amenity"": ""hospital"", ""name"": ""Military Hospital"", ""operator"": ""Military""}","POLYGON ((75.931728 32.4622835, 75.9319109 32.4624104, 75.9318093 32.4625545, 75.931915 32.4626334, 75.9321264 32.4625648, 75.9324679 32.4624002, 75.9325736 32.4622973, 75.9328704 32.4623384, 75.9329111 32.4621943, 75.9328704 32.4621086, 75.9328257 32.4620057, 75.9326468 32.4619096, 75.9324029 32.4618548, 75.9321549 32.4618548, 75.9320817 32.4617518, 75.9320085 32.4617073, 75.9318662 32.4616352, 75.9317239 32.4616421, 75.9315491 32.4621429, 75.931728 32.4622835))"
6990737720,node,Swami Shri Hari Giri Hospital,"{""addr:district"": ""Chamba"", ""addr:full"": ""Kakira Kamlari"", ""addr:postcode"": ""176313"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Swami Shri Hari Giri Hospital"", ""source"": ""OpenGovernmentData""}",POINT (75.922831 32.4647815)
526478601,way,Shree Swami Harigiri Charitable Hospital,"{""addr:city"": ""Karira"", ""addr:postcode"": ""176101"", ""addr:street"": ""Link Road 1/4 to SH28"", ""amenity"": ""hospital"", ""name"": ""Shree Swami Harigiri Charitable Hospital""}","POLYGON ((75.9224463 32.4650762, 75.922618 32.4650581, 75.9228004 32.4648317, 75.9226931 32.4647141, 75.9224678 32.4649223, 75.9222318 32.4653025, 75.9223712 32.4653387, 75.9224463 32.4650762))"
7165541964,node,"Civil Hospital, Banikhet","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Pathankot-Chamba Road, Near NHPC Ed Office, Dalhousie, Banikhet"", ""addr:postcode"": ""176303"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""description"": ""Civil Hospital"", ""name"": ""Civil Hospital, Banikhet"", ""source"": ""OpenGovernmentData""}",POINT (75.9405768 32.545323)
7016099611,node,"Civil Hospital, Bharmour","{""addr:block"": ""Bharmaur"", ""addr:district"": ""Chamba"", ""addr:full"": ""Main Bazaar, Beside SBI, Bharmour"", ""addr:postcode"": ""176315"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Brahmaur"", ""amenity"": ""hospital"", ""contact:phone"": ""1899225044"", ""description"": ""Civil Hospital"", ""name"": ""Civil Hospital, Bharmour"", ""operator:type"": ""government"", ""pincode"": ""176315"", ""source"": ""OpenGovernmentData""}",POINT (76.5378052 32.4416926)
