osm_id,osm_type,name,tags,geometry_wkt
8049121910,node,"SubCentre, NainiKhad","{""addr:district"": ""Chamba"", ""addr:full"": ""NainiKhad"", ""addr:postcode"": ""176301"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""SubCentre"", ""healthcare"": ""centre"", ""name"": ""SubCentre, NainiKhad"", ""source"": ""Local Knowledge""}",POINT (75.9330958 32.4899498)
7165542018,node,"PHC, Sihunta","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Sihunta"", ""addr:postcode"": ""176207"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Sihunta"", ""source"": ""OpenGovernmentData""}",POINT (76.0882817 32.3023341)
7165542044,node,"PHC, Samote","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Samote"", ""addr:postcode"": ""176207"", ""addr:state"": ""Himachal Pradesh"", ""contact:phone"": ""1899271011"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Samote"", ""source"": ""OpenGovernmentData""}",POINT (76.0728214 32.3274608)
7165541995,node,"PHC, Mehla","{""addr:block"": ""Choori"", ""addr:district"": ""Chamba"", ""addr:full"": ""Mehla"", ""addr:postcode"": ""176311"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Mehla"", ""source"": ""OpenGovernmentData""}",POINT (76.1789274 32.4741527)
7165542056,node,"PHC, Kohlri","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Kohlri"", ""addr:postcode"": ""176319"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Kohlri"", ""source"": ""OpenGovernmentData""}",POINT (76.0443287 32.5696192)
7165542025,node,"PHC, Sahoo","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Sahoo"", ""addr:postcode"": ""176314"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Sahoo"", ""source"": ""OpenGovernmentData""}",POINT (76.2261088 32.591645)
7165542053,node,"PHC, Chaned","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Dalhousie-Chamba Road, Near Government Secondary School, Chaned"", ""addr:postcode"": ""176314"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Chaned"", ""source"": ""OpenGovernmentData""}",POINT (76.0743551 32.5963015)
7165541973,node,"PHC, Rajnagar","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Rajnagar"", ""addr:postcode"": ""176310"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Rajnagar"", ""source"": ""OpenGovernmentData""}",POINT (76.06497 32.627008)
7165542001,node,Shakti Dehra PHC,"{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Shakti Dehra"", ""addr:postcode"": ""176319"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Shakti Dehra PHC"", ""source"": ""OpenGovernmentData""}",POINT (76.1050378 32.6302383)
7016080763,node,"Primary Health Centre, Purthi","{""addr:block"": ""Killar"", ""addr:district"": ""Chamba"", ""addr:full"": ""Purthi - Tehsil Pangi"", ""addr:postcode"": ""176323"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Primary Health Centre, Purthi"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (76.4603202 32.918353)
7165542071,node,"PHC, Saach","{""addr:block"": ""Killar"", ""addr:district"": ""Chamba"", ""addr:full"": ""Saach -Tehsil-Pangi"", ""addr:postcode"": ""176323"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Saach"", ""source"": ""OpenGovernmentData""}",POINT (76.434742 33.026766)
7165542065,node,"PHC, Jadera","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Near PG Bank, Jadera, Gond"", ""addr:postcode"": ""176319"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Jadera"", ""source"": ""OpenGovernmentData""}",POINT (76.1769459 32.6303433)
7165541941,node,"PHC, Pukhari","{""addr:block"": ""Pukhari"", ""addr:district"": ""Chamba"", ""addr:full"": ""Pukhri"", ""addr:postcode"": ""176319"", ""addr:state"": ""Himachal Pradesh"", ""contact:phone"": ""1899202952"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Pukhari"", ""source"": ""OpenGovernmentData""}",POINT (76.072248 32.641005)
6994410676,node,"CHC, Salooni","{""addr:block"": ""Kihar"", ""addr:district"": ""Chamba"", ""addr:full"": ""Salooni"", ""addr:postcode"": ""176320"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Community Health Centre"", ""healthcare"": ""centre"", ""name"": ""CHC, Salooni"", ""operator:type"": ""government"", ""pincode"": ""176320"", ""source"": ""OpenGovernmentData""}",POINT (76.0522798 32.7211397)
7165542032,node,"CHC, Diur","{""addr:block"": ""Kihar"", ""addr:district"": ""Chamba"", ""addr:full"": ""Near GSSS, Diur, Bhinga"", ""addr:postcode"": ""176320"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Community Health Centre"", ""healthcare"": ""centre"", ""name"": ""CHC, Diur"", ""source"": ""OpenGovernmentData""}",POINT (76.0493924 32.7352088)
7637726842,node,Primary Health Centre,"{""addr:district"": ""Chamba"", ""addr:full"": ""Chachoga"", ""addr:postcode"": ""176321"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Primary Health Centre"", ""source"": ""Local Knowledge""}",POINT (76.247409 32.740156)
7165542041,node,"PHC, Jasaurgarh","{""addr:block"": ""Tissa"", ""addr:district"": ""Chamba"", ""addr:full"": ""Rakhalu Deola Road, Near Shakti Mata Temple, Airias, Jasaurgarh"", ""addr:postcode"": ""176321"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Jasaurgarh"", ""source"": ""OpenGovernmentData""}",POINT (76.1744267 32.7663538)
7637726889,node,Primary Health Centre,"{""addr:district"": ""Chamba"", ""addr:full"": ""Manglo"", ""addr:postcode"": ""176321"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Primary Health Centre"", ""source"": ""Local Knowledge""}",POINT (76.2076553 32.8030091)
8049301113,node,"Primary Health Centre, Jhajja Kothi","{""addr:district"": ""Chamba"", ""addr:full"": ""Jhajja Kothi"", ""addr:postcode"": ""176316"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Primary Health Centre, Jhajja Kothi"", ""source"": ""Local Knowledge""}",POINT (76.0804188 32.8355794)
7165541977,node,"PHC, Bonderi","{""addr:block"": ""Tissa"", ""addr:district"": ""Chamba"", ""addr:full"": ""Bonderi Road, D.P.F.Chholi, Bonderi"", ""addr:postcode"": ""176316"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Bonderi"", ""source"": ""OpenGovernmentData""}",POINT (76.1429972 32.8824879)
8049315632,node,"SubCentre, Devi Kothi","{""addr:district"": ""Chamba"", ""addr:full"": ""Devi Kothi"", ""addr:postcode"": ""176316"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""SubCentre"", ""healthcare"": ""centre"", ""name"": ""SubCentre, Devi Kothi"", ""source"": ""Local Knowledge""}",POINT (76.2236568 32.9066993)
7165541963,node,"PHC, Bhagdhar","{""addr:block"": ""Samote"", ""addr:district"": ""Chamba"", ""addr:full"": ""Bhagdhar"", ""addr:postcode"": ""176303"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Bhagdhar"", ""source"": ""OpenGovernmentData""}",POINT (75.9221408 32.5585564)
