osm_id,osm_type,name,tags,geometry_wkt
746565766,way,"Civil Hospital, Nirmand","{""addr:district"": ""Kullu"", ""addr:full"": ""Nirmand"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""building"": ""yes"", ""healthcare"": ""hospital"", ""name"": ""Civil Hospital, Nirmand"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}","POLYGON ((77.5775341 31.4230373, 77.5774306 31.4230794, 77.5775147 31.42323, 77.5774566 31.4232536, 77.5775082 31.4233461, 77.5775456 31.4233309, 77.5775905 31.4234114, 77.5776545 31.4233854, 77.5776144 31.4233137, 77.5776747 31.4232891, 77.5775341 31.4230373))"
7165506428,node,"Government Hospital, Anni","{""addr:block"": ""Anni"", ""addr:district"": ""Kullu"", ""addr:full"": ""SH 11, Near Police Station, Anni"", ""addr:postcode"": ""172025"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Ani"", ""amenity"": ""hospital"", ""contact:phone"": ""1904253234"", ""name"": ""Government Hospital, Anni"", ""source"": ""OpenGovernmentData""}",POINT (77.416981 31.433162)
7010670228,node,"Primary Health Centre, Rampur","{""addr:district"": ""Shimla"", ""addr:full"": ""Rampur"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Primary Health Centre, Rampur"", ""operator:type"": ""government"", ""pincode"": ""172001"", ""source"": ""OpenGovernmentData""}",POINT (77.6295642 31.4481448)
7165506441,node,"Government Hospital, Arsu","{""addr:district"": ""Kullu"", ""addr:full"": ""Arsu Market, Arsu"", ""addr:postcode"": ""172002"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Nermand"", ""amenity"": ""hospital"", ""name"": ""Government Hospital, Arsu"", ""source"": ""OpenGovernmentData""}",POINT (77.5818422 31.4810835)
4586872621,node,"Civil Hospital, Banjar","{""addr:block"": ""Banjar"", ""addr:city"": ""Banjar"", ""addr:district"": ""Kullu"", ""addr:full"": ""Sainj-Ani-Banjar-Aut Road, Near Sub-Post Office, Banjar"", ""addr:postcode"": ""175123"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""contact:phone"": ""1903221214"", ""description"": ""Civil Hospital"", ""name"": ""Civil Hospital, Banjar"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (77.344331 31.6367151)
10934159864,node,Primary Health Center Gushaini,"{""amenity"": ""hospital"", ""name"": ""Primary Health Center Gushaini""}",POINT (77.4282414 31.6379194)
703825725,way,Ray Health Center & Community Facility,"{""addr:city"": ""India"", ""addr:postcode"": ""175134"", ""addr:street"": ""Sainj, Himachal Pradesh"", ""amenity"": ""hospital"", ""emergency"": ""yes"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""medical"", ""name"": ""Ray Health Center & Community Facility""}","POLYGON ((77.3085611 31.770922, 77.3085401 31.7708347, 77.3084093 31.7708406, 77.3084304 31.7709379, 77.3085611 31.770922))"
7007294561,node,Beas Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Dhalpur"", ""addr:postcode"": ""175101"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Beas Hospital"", ""source"": ""OpenGovernmentData""}",POINT (77.1111971 31.938562)
3042778856,node,"Kullu Valley Hospital, Kullu","{""addr:district"": ""Kullu"", ""addr:full"": ""Shashtri Nager"", ""addr:postcode"": ""175101"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""healthcare:speciality"": ""Medicine; Paediatrics; Gynaecology and Obstetrics; Surgery; Orthopaedics; Dental; CT-Scan; Radiology; ENT; MRI and Routine Lab Tests"", ""name"": ""Kullu Valley Hospital, Kullu"", ""operator:type"": ""private"", ""source"": ""OpenGovernmentData""}",POINT (77.109386 31.9443352)
5059830724,node,City Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Lanka Bekar Road, Dhalpur, Kullu"", ""addr:postcode"": ""175101"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""City Hospital"", ""source"": ""Local Knowledge""}",POINT (77.1110358 31.9535458)
6993943312,node,Maya Dass Shiv Dass Rotary Eye Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Kullu"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""healthcare:speciality"": ""Eye Care Facility"", ""name"": ""Maya Dass Shiv Dass Rotary Eye Hospital"", ""operator:type"": ""private"", ""source"": ""OpenGovernmentData""}",POINT (77.1689719 31.8537642)
7642218095,node,Bhanoo Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Kalehli"", ""addr:postcode"": ""175125"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Bhanoo Hospital"", ""source"": ""Local Knowledge""}",POINT (77.1525062 31.8620451)
6982151179,node,Sri Harihar Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Hathithan Bhuntar"", ""addr:postcode"": ""175122"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""healthcare:speciality"": ""Gerneral Surgery; gynaecologycology and Obstetrics; ENT; Paediatrics; General Medicine; Medicine; Dermatology; Orthopaedics; Radiology; Endoscopy; Diagnostic service."", ""name"": ""Sri Harihar Hospital"", ""operator:type"": ""private"", ""source"": ""OpenGovernmentData""}",POINT (77.1499819 31.8952057)
7642218119,node,Rotary Eye Hospital,"{""addr:district"": ""Kullu"", ""addr:full"": ""Lanka Bekar, Dhalpur, Kullu"", ""addr:postcode"": ""175101"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Rotary Eye Hospital"", ""source"": ""Local Knowledge""}",POINT (77.1113176 31.9541068)
