osm_id,osm_type,name,tags,geometry_wkt
7165506388,node,Neether PHC,"{""addr:block"": ""Nirmand"", ""addr:district"": ""Kullu"", ""addr:full"": ""VP NITHER TEHSIL NIRMAND"", ""addr:postcode"": ""172033"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Nermand"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Neether PHC"", ""source"": ""OpenGovernmentData""}",POINT (77.5147559 31.3672451)
6988130899,node,"Community Health Centre, Dalash","{""addr:block"": ""Anni"", ""addr:district"": ""Kullu"", ""addr:full"": ""NH305, Near Naga Devata Temple, Dalash"", ""addr:postcode"": ""172025"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Ani"", ""contact:phone"": ""1904256707"", ""description"": ""Community Health Centre"", ""healthcare"": ""centre"", ""name"": ""Community Health Centre, Dalash"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (77.4379597 31.3924716)
7165506363,node,Kungash PHC,"{""addr:block"": ""Anni"", ""addr:district"": ""Kullu"", ""addr:full"": ""Vill.Kungash PO Peog"", ""addr:postcode"": ""172026"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Kungash PHC"", ""source"": ""OpenGovernmentData""}",POINT (77.3902068 31.423899)
7165506361,node,Rampur PHC,"{""addr:block"": ""Rampur"", ""addr:district"": ""Shimla"", ""addr:full"": ""Rampur"", ""addr:postcode"": ""172001"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Rampur PHC"", ""source"": ""OpenGovernmentData""}",POINT (77.629531 31.448392)
7165506338,node,"PHC, Digerh","{""addr:district"": ""Kullu"", ""addr:full"": ""Bishla Dhar, Near GSSS, Digerh"", ""addr:postcode"": ""172026"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Ani"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Digerh"", ""source"": ""OpenGovernmentData""}",POINT (77.3450753 31.4639199)
7165506368,node,Kothi PHC,"{""addr:block"": ""Anni"", ""addr:district"": ""Kullu"", ""addr:postcode"": ""172026"", ""addr:state"": ""Himachal Pradesh"", ""addr:subdistrict"": ""Ani"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Kothi PHC"", ""source"": ""OpenGovernmentData""}",POINT (77.3782596 31.4934817)
7165542012,node,"PHC, Gadsa","{""addr:block"": ""Jari"", ""addr:district"": ""Kullu"", ""addr:full"": ""Garsa Road, Near Shiv Shakti Mandir, Garsa"", ""addr:postcode"": ""175121"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Gadsa"", ""source"": ""OpenGovernmentData""}",POINT (77.233286 31.844697)
7165541947,node,"PHC, Neul","{""addr:block"": ""Jari"", ""addr:district"": ""Kullu"", ""addr:full"": ""VPO NEUL"", ""addr:postcode"": ""175125"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""PHC, Neul"", ""source"": ""OpenGovernmentData""}",POINT (77.1178962 31.842319)
3549074660,node,,"{""amenity"": ""clinic""}",POINT (77.110252 31.9439827)
7642218101,node,Laxmi Eye Centre,"{""addr:district"": ""Kullu"", ""addr:full"": ""Shastri Nagar, Kullu"", ""addr:postcode"": ""175101"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""clinic"", ""name"": ""Laxmi Eye Centre"", ""source"": ""Local Knowledge""}",POINT (77.109808 31.945129)
7642218093,node,Primary Health Centre,"{""addr:district"": ""Kullu"", ""addr:full"": ""Kharal"", ""addr:postcode"": ""175138"", ""addr:state"": ""Himachal Pradesh"", ""description"": ""Primary Health Centre"", ""healthcare"": ""centre"", ""name"": ""Primary Health Centre"", ""source"": ""Local Knowledge""}",POINT (77.1249502 31.948004)
7642218126,node,Laxmi Clinic,"{""addr:district"": ""Kullu"", ""addr:full"": ""Banjar"", ""addr:postcode"": ""175123"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""clinic"", ""name"": ""Laxmi Clinic"", ""source"": ""Local Knowledge""}",POINT (77.3442197 31.6371627)
