osm_id,osm_type,name,tags,geometry_wkt
7641994237,node,Government Ayurvedic Health Centre,"{""addr:district"": ""Mandi"", ""addr:full"": ""Behli, Himachal Pradesh"", ""addr:postcode"": ""175019"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Government Ayurvedic Health Centre"", ""source"": ""Local Knowledge""}",POINT (76.9160393 31.5495851)
7165506350,node,"Government Hospital, Baggi","{""addr:block"": ""Ratti"", ""addr:district"": ""Mandi"", ""addr:full"": ""Nerchowk-Janjahli Road, Near Punjab National Bank, Baggi"", ""addr:postcode"": ""175006"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""contact:phone"": ""1905244003"", ""name"": ""Government Hospital, Baggi"", ""source"": ""OpenGovernmentData""}",POINT (76.9688848 31.5758999)
3045606840,node,Government Hospital Kummi,"{""amenity"": ""hospital"", ""name"": ""Government Hospital Kummi""}",POINT (76.9496802 31.60176)
197908492,way,ESI Medical College and Government Hospital,"{""amenity"": ""hospital"", ""name"": ""ESI Medical College and Government Hospital""}","POLYGON ((76.9179386 31.605495, 76.9180459 31.6061254, 76.9179547 31.6063676, 76.9179547 31.6067422, 76.9180083 31.6069981, 76.918475 31.6081357, 76.9185074 31.6083181, 76.9183677 31.6085057, 76.9181371 31.6088621, 76.9179708 31.6091362, 76.9179654 31.6094149, 76.9189417 31.6101732, 76.9192475 31.6099539, 76.9195318 31.6099539, 76.9196016 31.6098991, 76.9199341 31.6101458, 76.9202292 31.6102418, 76.9203901 31.6101093, 76.920653 31.6097347, 76.9208837 31.609488, 76.921168 31.6093966, 76.9210124 31.609255, 76.9209427 31.6089717, 76.9208032 31.6086748, 76.9207281 31.6073864, 76.9206905 31.6066006, 76.9207549 31.6059518, 76.9213396 31.6057599, 76.9215703 31.6057782, 76.9216293 31.6054219, 76.9212216 31.6050746, 76.9208032 31.6056777, 76.9205189 31.6052026, 76.9202399 31.6053488, 76.9198322 31.6047868, 76.9198054 31.604965, 76.9196927 31.6050792, 76.9193119 31.6051477, 76.9179922 31.6052894, 76.9179386 31.605495))"
7641994214,node,Aditya Jyoti Eye Hospital,"{""addr:district"": ""Mandi"", ""addr:full"": ""Ner"", ""addr:postcode"": ""175008"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Aditya Jyoti Eye Hospital"", ""source"": ""Local Knowledge""}",POINT (76.915916 31.6089276)
3047095141,node,Government Hospital,"{""amenity"": ""hospital"", ""name"": ""Government Hospital""}",POINT (76.9615555 31.6303288)
1235730661,way,Bhanoo Hospital,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""name"": ""Bhanoo Hospital""}","POLYGON ((76.9411403 31.6346365, 76.9411136 31.6343718, 76.9407701 31.6343969, 76.9407968 31.6346617, 76.9411403 31.6346365))"
7007287774,node,Aastha Multi Speciality Hospital & Test Tube Baby Centre,"{""addr:district"": ""Mandi"", ""addr:full"": ""Post-Office Gutkar, Teh Balh, Mandi"", ""addr:postcode"": ""175008"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Aastha Multi Speciality Hospital & Test Tube Baby Centre"", ""source"": ""OpenGovernmentData""}",POINT (76.9450316 31.6428701)
7013422068,node,"Sri Harihar Hospital and Research Centre, Mandi","{""addr:district"": ""Mandi"", ""addr:full"": ""Vill. P.O. Gutkar"", ""addr:postcode"": ""175021"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""name"": ""Sri Harihar Hospital and Research Centre, Mandi"", ""source"": ""OpenGovernmentData""}",POINT (76.9456203 31.6511438)
6982167234,node,Karsog CH,"{""addr:block"": ""Karsog"", ""addr:district"": ""Mandi"", ""addr:full"": ""Karsog, Lower karsog"", ""addr:postcode"": ""175011"", ""addr:state"": ""Himachal Pradesh"", ""amenity"": ""hospital"", ""contact:phone"": ""1907222218"", ""description"": ""Civil Hospital"", ""name"": ""Karsog CH"", ""operator:type"": ""government"", ""source"": ""OpenGovernmentData""}",POINT (77.2037441 31.3810918)
