osm_id,osm_type,name,tags,geometry_wkt
1026769335,way,,"{""power"": ""substation"", ""voltage"": ""400000""}","POLYGON ((77.5943555 31.4012027, 77.5943025 31.4009733, 77.5935465 31.4011005, 77.5935995 31.4013299, 77.5943555 31.4012027))"
1026769334,way,,"{""power"": ""substation"", ""voltage"": ""400000""}","POLYGON ((77.5920924 31.4014144, 77.5921405 31.4011842, 77.591382 31.4010687, 77.5913339 31.4012989, 77.5920924 31.4014144))"
330412388,way,,"{""power"": ""substation"", ""voltage"": ""400000""}","POLYGON ((77.2404289 31.7433225, 77.2401915 31.7428752, 77.2400018 31.7429481, 77.2402392 31.7433953, 77.2404289 31.7433225))"
330412393,way,Parbati-II,"{""name"": ""Parbati-II"", ""power"": ""substation"", ""voltage"": ""400000""}","POLYGON ((77.3279926 31.7835874, 77.3276842 31.7831915, 77.327425 31.7832978, 77.3277226 31.7836708, 77.3279926 31.7835874))"
781944201,way,Parbati-3,"{""name"": ""Parbati-3"", ""power"": ""substation"", ""voltage"": ""400000""}","POLYGON ((77.3321892 31.7854647, 77.3322563 31.7855142, 77.3327362 31.7850447, 77.3324288 31.7848177, 77.3319489 31.7852871, 77.3321892 31.7854647))"
781944199,way,Malana-I,"{""name"": ""Malana-I"", ""power"": ""substation"", ""voltage"": ""132000""}","POLYGON ((77.2562014 32.0394124, 77.2563355 32.0394386, 77.2565219 32.0392567, 77.2564696 32.0391327, 77.2562443 32.0390338, 77.2558862 32.0391157, 77.2558124 32.0392464, 77.2562014 32.0394124))"
418309784,way,Baujara Substation,"{""name"": ""Baujara Substation"", ""power"": ""substation"", ""voltage"": ""132000""}","POLYGON ((77.1663628 31.8506273, 77.1662918 31.8507247, 77.1669943 31.8510942, 77.1675145 31.8503807, 77.166298 31.8497407, 77.1658487 31.8503569, 77.1663628 31.8506273))"
418309788,way,Chhaur,"{""name"": ""Chhaur"", ""power"": ""substation"", ""voltage"": ""220000;132000""}","POLYGON ((77.1810866 31.9096194, 77.1815545 31.9096819, 77.1817363 31.908701, 77.1812684 31.9086385, 77.1810866 31.9096194))"
1377164777,way,HPPTCL 33/220kV 100MVA GIS sub-station Phojal,"{""location"": ""outdoor"", ""name"": ""HPPTCL 33/220kV 100MVA GIS sub-station Phojal"", ""operator"": ""HP Power Transmission Corporation Limited"", ""power"": ""substation"", ""rating"": ""100 MVA"", ""substation"": ""yes"", ""voltage"": ""220000""}","POLYGON ((77.1102985 32.0958666, 77.1108103 32.0958602, 77.1112736 32.0958096, 77.1115015 32.0957146, 77.1115688 32.0956102, 77.1114679 32.095262, 77.1112026 32.0951766, 77.1109224 32.0950405, 77.1106422 32.0950025, 77.1103807 32.095088, 77.110179 32.095262, 77.1099137 32.0955532, 77.1099511 32.0958128, 77.1102985 32.0958666))"
1467684046,way,,"{""power"": ""substation""}","POLYGON ((77.1955298 32.2162674, 77.1958208 32.2163355, 77.195853 32.2161438, 77.1955767 32.2160848, 77.1955137 32.2162686, 77.1955298 32.2162674))"
418309780,way,Adhydro,"{""name"": ""Adhydro"", ""power"": ""substation"", ""voltage"": ""220000""}","POLYGON ((77.2061129 32.2253464, 77.2067217 32.2257593, 77.2070704 32.2254076, 77.2064776 32.2249629, 77.206129 32.2248177, 77.2057749 32.2252579, 77.2061129 32.2253464))"
1468709561,way,,"{""power"": ""substation""}","POLYGON ((77.1938762 32.2259487, 77.1939111 32.225749, 77.1936321 32.2257082, 77.1935678 32.2259033, 77.1938762 32.2259487))"
927660643,node,,"{""operator"": ""Hydro power station"", ""power"": ""substation""}",POINT (77.1862023 32.2750279)
579358042,way,,"{""power"": ""substation""}","POLYGON ((77.1737489 32.3061618, 77.1738101 32.3060713, 77.1738929 32.3061113, 77.1739573 32.3060162, 77.1736544 32.3058697, 77.1735288 32.3060553, 77.1737489 32.3061618))"
579968920,way,,"{""power"": ""substation"", ""substation"": ""minor_distribution""}","POLYGON ((77.1542049 32.3199915, 77.1543497 32.3197938, 77.15421 32.3197207, 77.1540652 32.3199184, 77.1542049 32.3199915))"
