osm_id,osm_type,name,tags,geometry_wkt
330268014,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.849235875471 31.41509293197659, 76.8486027 31.4153985, 76.8458549 31.4167093, 76.8433955 31.4178705, 76.84233211367567 31.417722726968552)"
330267965,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8336235 31.4232737, 76.8335217 31.4228368, 76.8330694 31.4227773, 76.8269376 31.4221533, 76.8256504 31.422044, 76.8225973 31.4206898, 76.8213985 31.4194158, 76.82121176296356 31.418968721547778)"
1369960148,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8356372 31.4229959, 76.8353207 31.4227991, 76.834956 31.422854)"
1369960145,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8329067 31.4234995, 76.8330069 31.4234679, 76.8333857 31.4233486, 76.8336235 31.4232737, 76.8336985 31.4232501, 76.8339071 31.4231844, 76.8344146 31.4230245, 76.8346184 31.4229603, 76.8348275 31.4228945, 76.834956 31.422854)"
1369960152,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8340507 31.4235318, 76.8339071 31.4231844)"
1369813645,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.86815 31.413089, 76.8681315 31.4131682)"
1369813638,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.8686215 31.4131166, 76.8684062 31.4130807, 76.8683916 31.4131296, 76.8683722 31.4132074)"
1369813636,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.8681004 31.4130807, 76.86815 31.413089, 76.8683916 31.4131296, 76.8686016 31.4131648, 76.8687817 31.4131951, 76.869046 31.4132395, 76.8690821 31.4132455)"
1369813639,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.8686215 31.4131166, 76.8687951 31.4131448, 76.8687817 31.4131951, 76.8687545 31.4132696)"
1369813643,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.8686016 31.4131648, 76.8685826 31.4132416)"
1369813637,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""11000""}","LINESTRING (76.869046 31.4132395, 76.8690275 31.413314)"
1369813641,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8681315 31.4131682, 76.8673157 31.4137219)"
1369813644,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8683722 31.4132074, 76.8673157 31.4137219)"
330278457,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8673157 31.4137219, 76.8666054 31.4136876, 76.86524930443272 31.413538328704277)"
330278459,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8683 31.4140899, 76.8676416 31.4143878, 76.8649136 31.4143391, 76.8634663 31.4141066, 76.86240150399843 31.413568506887774)"
1369813640,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8685826 31.4132416, 76.8675678 31.4140899)"
1369813642,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8687545 31.4132696, 76.8683 31.4140899)"
330278460,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.8675678 31.4140899, 76.8666536 31.4139753, 76.8650498 31.4140727, 76.8635591 31.4137843, 76.8626425 31.4135736, 76.86263784288018 31.413538440106958)"
330278461,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8690275 31.413314, 76.8692297 31.4138151, 76.8687484 31.4142546, 76.8676501 31.4147051, 76.8651287 31.415296, 76.8635424 31.4152306, 76.8622934 31.4151744, 76.8610845 31.4151381, 76.8608546 31.4148208, 76.8608688 31.4138981, 76.86087638848373 31.41376253045917)"
330268009,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.84165997483863 31.41803554630151, 76.84167 31.4180686, 76.8416436 31.4183276, 76.8402493 31.4198919, 76.8359442 31.422092, 76.8348473 31.4222915, 76.8342009 31.4224571, 76.8344146 31.4230245)"
330278448,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.85929721340948 31.413991525431907, 76.858264 31.4148431, 76.8561555 31.4169815, 76.8547763 31.4187664, 76.8536582 31.4199675, 76.8492852 31.4247831, 76.8444546 31.4266015, 76.8419744 31.4254077, 76.8397524 31.4250953, 76.8369486 31.4246376, 76.8352913 31.4242768, 76.8344519 31.424076, 76.8342785 31.4237679)"
781944210,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.84268039798893 31.41756063238251, 76.8415211 31.4190626, 76.8397779 31.4208167, 76.836387 31.422314, 76.8348737 31.4224459, 76.8344685 31.4225633, 76.8346184 31.4229603)"
1369960149,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.83662 31.4229592, 76.8358518 31.4230005)"
1369960150,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8358518 31.4230005, 76.8356372 31.4229959)"
1369960147,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8366243 31.423591, 76.8366228 31.4233687, 76.83662 31.4229592, 76.8366189 31.4227991)"
1369960151,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8366228 31.4233687, 76.835755 31.4233871, 76.835755 31.423616, 76.8352293 31.4238357, 76.8349506 31.4235498)"
1369960153,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8336985 31.4232501, 76.8338623 31.4235928)"
1369960154,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8341637 31.4238051, 76.8340507 31.4235318)"
1369960146,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8339206 31.423884, 76.8339905 31.4238613, 76.8341637 31.4238051, 76.8342785 31.4237679, 76.8348056 31.4235969, 76.8349506 31.4235498)"
1369960155,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""220000""}","LINESTRING (76.8338623 31.4235928, 76.8339905 31.4238613)"
418280936,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","MULTILINESTRING ((76.8333857 31.4233486, 76.8332428 31.4230282, 76.8262445 31.4229393, 76.8240963 31.4221523, 76.822028 31.4213472, 76.8202258182033 31.41922626384663), (76.80518080360545 31.42237333319499, 76.8045179565383 31.423574436499763))"
122194731,way,,"{""cables"": ""6"", ""circuits"": ""2"", ""power"": ""line"", ""voltage"": ""400000""}","LINESTRING (76.69325571888129 31.688775686712255, 76.6962907 31.6901942, 76.6998688 31.6920063, 76.7026905 31.6928576, 76.7059574 31.6943456, 76.708822 31.6955597, 76.7110214 31.6953635, 76.7144976 31.6979058, 76.7200551 31.7016392, 76.7208061 31.70587, 76.7248294 31.7089277, 76.7276887 31.7113327, 76.7313365 31.7120903, 76.737865 31.7124462, 76.739603 31.7125283, 76.7456487 31.7134821, 76.748508 31.7161973, 76.7491356 31.7168864, 76.7528639 31.7195467, 76.7547575 31.7201399, 76.757252 31.7214359, 76.7625788 31.726487, 76.770824 31.7282437, 76.7728356 31.7286269, 76.7778299 31.7328291, 76.7804155 31.7336321, 76.7835215 31.7345628, 76.7874912 31.7349506, 76.7942343 31.7371132, 76.7972169 31.7396133, 76.801385 31.7412921, 76.8066368 31.743101, 76.8123231 31.7416046, 76.8206219 31.7443966, 76.824275 31.7458746, 76.8268821 31.7461255, 76.8304548 31.7470881, 76.8339685 31.7473846, 76.8393383 31.747307, 76.8413821 31.7470607, 76.8470094 31.7478362, 76.8527386 31.7491728, 76.8568478 31.7506781, 76.8607262 31.7517638, 76.8665305 31.7547972, 76.872477 31.754081, 76.8789143 31.754861, 76.8818862 31.754268, 76.886167 31.7541677, 76.8896002 31.7549294, 76.8960429 31.7565989, 76.90027 31.7554129, 76.9024534 31.7543958, 76.9072438 31.751002, 76.9095505 31.7513897, 76.9127316 31.7520238, 76.9166637 31.7508423, 76.9205744 31.7513806, 76.9247157 31.7525484, 76.9265342 31.7549568, 76.9312871 31.756047, 76.9365174 31.7576161, 76.9449556 31.7560789, 76.9470263 31.7559786, 76.9508297 31.7557505, 76.9545955 31.7557459, 76.9605125 31.757388, 76.9635595 31.7593721, 76.9658018 31.7616527, 76.9668371 31.7644532, 76.9681782 31.7663505, 76.969809 31.766688, 76.9718314 31.7677187, 76.9754363 31.7726488, 76.9779522 31.7744775, 76.9782794 31.7751662, 76.9790948 31.7782444, 76.9808865 31.7798861, 76.9811816 31.7812085, 76.987592 31.7841543, 76.9887186 31.784478, 76.9919426 31.7868401, 76.9964648 31.7862062, 76.9996566 31.7877292, 77.0036799 31.7895668, 77.0055253 31.7916004, 77.0087132 31.7933921, 77.0091355 31.7936294, 77.0165814 31.793504, 77.0179278 31.7946256, 77.0232815 31.7956105, 77.0255024 31.7946028, 77.0279217 31.7958202, 77.0307139 31.7964244, 77.0350484 31.7981934, 77.0380846 31.7992055, 77.040445 31.8004684, 77.0447472 31.801248, 77.0488778 31.8039287, 77.0539526 31.8049135, 77.0570264 31.8072613, 77.0592472 31.8099829, 77.0602128 31.8118702, 77.063351 31.8142497, 77.0670256 31.8190086, 77.0686725 31.8229104, 77.0736185 31.8242049, 77.0809195 31.8247245, 77.084106 31.8232887, 77.086756 31.8218712, 77.08814 31.8216114, 77.0917771 31.8224045, 77.094293 31.8225686, 77.1016744 31.821584, 77.1061484 31.8231155, 77.1116415 31.8248931, 77.1140287 31.825235, 77.1217105 31.8217481, 77.1239099 31.819738, 77.1270213 31.8185118, 77.1276704 31.8175865, 77.1311197 31.8158178, 77.1340862 31.8139397, 77.1386406 31.812399, 77.1402929 31.811893, 77.1486077 31.809372, 77.1505604 31.8083463, 77.1548358 31.8081001, 77.1581886 31.8063951, 77.1599105 31.8058025, 77.1603022 31.8045214, 77.1643416 31.8015991, 77.1659938 31.8013438, 77.1704624 31.7987952, 77.1723024 31.7944, 77.1754405 31.7908299, 77.1763096 31.7895167, 77.1778706 31.7872915, 77.1804724 31.7829642, 77.180923 31.7783995, 77.1826879 31.7764568, 77.1848712 31.7727172, 77.1859548 31.7699307, 77.1871618 31.7664873, 77.189152 31.762793, 77.1902182 31.761338, 77.192026 31.7590415, 77.1936487 31.7585808, 77.1946599 31.7590187, 77.1994691 31.7573561, 77.2009068 31.7576868, 77.201749 31.7591031, 77.2018509 31.7618306)"
418280950,way,,"{""cables"": ""6"", ""power"": ""line"", ""source"": ""bing"", ""voltage"": ""132000""}","LINESTRING (76.67436717823111 31.73026369288363, 76.6754951 31.7304588, 76.6780566 31.7326442, 76.6825788 31.7368028, 76.6853683 31.7389403, 76.6885601 31.7404298, 76.6921891 31.7427063, 76.6971432 31.7452701, 76.6992058 31.7457924, 76.7042081 31.7463877, 76.7090468 31.7500029, 76.7112704 31.750897, 76.7127831 31.7518914, 76.7180537 31.7548769, 76.720355 31.7575384, 76.7210202 31.7604599, 76.7249899 31.764038, 76.7259528 31.764802, 76.7284794 31.7672922, 76.7290883 31.7675864, 76.7329694 31.7706968, 76.7351769 31.7734856, 76.7363396 31.774952, 76.7388931 31.7782902, 76.7399834 31.7789537, 76.7433791 31.7817582, 76.7471047 31.7855407, 76.7480991 31.787154, 76.7487435 31.7884179, 76.7519541 31.7946874, 76.7510931 31.800293, 76.7511655 31.8021509, 76.7519796 31.8068361, 76.7535406 31.8128581, 76.7537391 31.816147, 76.7529532 31.8210996, 76.7528245 31.8237797, 76.7513359 31.8294338, 76.7508665 31.832378, 76.7508236 31.8346431, 76.7503488 31.8383551, 76.7502013 31.841258, 76.7497829 31.8464826, 76.749174 31.8473803, 76.7486335 31.8500654, 76.7481266 31.8514097, 76.7441301 31.8541801, 76.7419173 31.8551984, 76.7376048 31.8592122, 76.7367433 31.8601284, 76.7336145 31.863763, 76.7323539 31.8655877, 76.7302322 31.8666674, 76.7281857 31.8680524, 76.7256135 31.8694738, 76.7235562 31.8707836, 76.722317 31.8712824, 76.7220086 31.8727494)"
418309771,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7977703 31.9535858, 76.7974779 31.9521395, 76.7972342 31.9491618, 76.797148 31.9475001, 76.7968999 31.9446415, 76.7960966 31.9404774, 76.7952544 31.9363689, 76.7949137 31.9342292, 76.7943531 31.9307123, 76.7936638 31.9266102, 76.7933419 31.9245364, 76.7936514 31.9204982, 76.7938734 31.9176019, 76.793983 31.9161721, 76.7930161 31.9109594, 76.7918332 31.9046386, 76.7910929 31.8974954, 76.7907389 31.8960129, 76.7892368 31.8883976, 76.7885394 31.8852935, 76.7877509 31.8779711, 76.7871152 31.8720945, 76.7867316 31.8688987, 76.7858316 31.8610718, 76.7856239 31.8569162, 76.7855997 31.8497442, 76.783741 31.8439615, 76.7796372 31.8407055, 76.7767753 31.8376407, 76.7730416 31.8332086, 76.7708449 31.830629, 76.7688842 31.8283114, 76.7664649 31.8254172, 76.7642225 31.8229035, 76.7635815 31.821021, 76.7623235 31.8178507, 76.7604138 31.8124832, 76.7586274 31.805889, 76.7563291 31.7974042, 76.7494087 31.7875923, 76.7477216 31.7846421, 76.7441569 31.7791677, 76.7415901 31.7749939, 76.7399646 31.7717081, 76.738307 31.767022, 76.7370464 31.7636446, 76.7352922 31.7586366, 76.7339887 31.7550605, 76.7325266 31.7511475, 76.7316149 31.7487074, 76.7310651 31.7464311, 76.7303489 31.7433769, 76.7297106 31.740886, 76.7296998 31.7379936, 76.72985 31.7346357, 76.7301263 31.7295576, 76.7302363 31.7271964, 76.7289247 31.7222742, 76.7282084 31.7195859, 76.7285492 31.7164722, 76.7256095 31.7143822, 76.7218249 31.7141814, 76.718232 31.7140422, 76.7128677 31.7148735, 76.7042736 31.7135329, 76.6991454 31.713579, 76.6934109 31.7140604, 76.6900662 31.7143456, 76.6850826 31.7147221, 76.6824854 31.7147507, 76.67655244290901 31.71476135390559)"
505623515,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7223063 31.8727995, 76.7226148 31.871656, 76.7246077 31.8704898, 76.7294169 31.8698269, 76.7322359 31.869, 76.7385873 31.8682734, 76.7416853 31.8679294, 76.748364 31.8698337, 76.7513198 31.8700387, 76.7583633 31.8711777, 76.7631 31.8728587, 76.7643017 31.8742071, 76.7683089 31.8773959, 76.7701221 31.8784619, 76.7786838 31.879685, 76.7800677 31.8800631, 76.7859283 31.882573, 76.7869046 31.8828007, 76.7894045 31.8849006, 76.7899624 31.8855383, 76.7919579 31.8898153, 76.7939857 31.8943654, 76.7953375 31.894839, 76.7973116 31.8963374, 76.7969897 31.8996257, 76.7960724 31.9048174, 76.7948386 31.9111358)"
505623513,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7948386 31.9111358, 76.7958632 31.9130597, 76.7974752 31.9164407, 76.7973465 31.9186855, 76.7975772 31.9214084, 76.7977059 31.9241539, 76.7986661 31.9289185, 76.7985293 31.9301182, 76.7994842 31.9339584, 76.7998597 31.9357088, 76.8001065 31.9366671, 76.7991382 31.9390594, 76.798929 31.9400153, 76.7982289 31.9418795, 76.7970421 31.9439268, 76.7972405 31.9449874, 76.7977958 31.949141, 76.7979325 31.9512804, 76.7980546 31.9533081)"
505623512,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7977743 31.9539556, 76.7968369 31.9544198, 76.7968674 31.9556225, 76.79692 31.9576946, 76.7970541 31.9617475, 76.7970058 31.9654658, 76.7971668 31.9700053, 76.7972526 31.9732567, 76.7967457 31.9760508, 76.7962924 31.9786718, 76.7957439 31.9813599, 76.7965788 31.9835255, 76.7976911 31.9864105, 76.800191 31.9889618, 76.8039058 31.9901402, 76.8070467 31.9902904)"
505623522,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8074973 31.9904724, 76.8051584 31.9903859, 76.8011592 31.9909637, 76.7936088 31.9922172)"
505623521,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.8075268 31.9910388, 76.8051343 31.9905474, 76.8013443 31.9911457, 76.7936088 31.9922172)"
1308272729,way,,"{""cables"": ""4"", ""operator"": ""HP power"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.837129 32.0352106, 76.8343908 32.0223714, 76.8311201 32.0157954, 76.8307012 32.0119363, 76.8301272 32.0097333, 76.8299087 32.0076357, 76.8292006 32.0053066, 76.8282022 32.0002527, 76.826781 31.9960479, 76.8245333 31.9907385, 76.8231869 31.9878494, 76.8220174 31.9857701, 76.8191796 31.9821391, 76.8178385 31.9807604, 76.8113261 31.9761099, 76.8093413 31.9726288, 76.8074262 31.969689, 76.8061387 31.9676957, 76.804052 31.9628262, 76.8037623 31.962371, 76.8012893 31.9576923, 76.8018392 31.9557284, 76.8001226 31.9538327, 76.7982155 31.9534208)"
505623511,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7936088 31.9922172, 76.7847809 31.9935235, 76.7792054 31.9943237, 76.7754074 31.9951858, 76.7735526 31.9956055, 76.7710689 31.9971455, 76.7688373 31.9985217, 76.7662436 32.0001276, 76.7644304 32.0012467, 76.7616651 32.002964, 76.7596024 32.0039102)"
505623517,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7596024 32.0039102, 76.7543788 32.006883, 76.750432 32.0086878)"
505623520,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7596024 32.0039102, 76.7543171 32.0065873, 76.750432 32.0086878)"
391428598,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.7978507 31.9537883, 76.7968181 31.9541695, 76.7931126 31.9570608, 76.7914792 31.9594708, 76.7899637 31.9625872, 76.7876704 31.9643496, 76.7837785 31.9676218, 76.781158 31.9697356, 76.7776202 31.9722522, 76.7755629 31.9731805, 76.7725642 31.9744911, 76.7679159 31.976086, 76.7652632 31.977094, 76.7614921 31.9783863, 76.7576619 31.9797286, 76.7551808 31.9813371, 76.752976 31.9827113, 76.7492236 31.9851206, 76.7460077 31.9872158, 76.7434381 31.9888583, 76.7403942 31.9908712, 76.7350803 31.994219, 76.7324303 31.9959387, 76.7281656 31.9979792, 76.7252125 31.9991074, 76.722887 31.9999786, 76.720406 32.0009453, 76.7175414 32.0020394, 76.7139124 32.0034542, 76.7104362 32.0040365, 76.7062171 32.0045733, 76.7054178 32.0047393, 76.7006301 32.0051055, 76.6972987 32.0058424, 76.6927095 32.0075824, 76.6882651 32.0092041, 76.6835551 32.0117537, 76.6796812 32.0149258, 76.672439 32.0206451, 76.6686995 32.0230442, 76.66395396525407 32.02620513182371)"
505623516,way,,"{""cables"": ""6"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.750432 32.0086878, 76.7467922 32.0101662, 76.7451614 32.0108007, 76.7402664 32.0122836, 76.737847 32.0130387, 76.7335877 32.0146261, 76.7308197 32.0157678, 76.7283601 32.0166434, 76.7255518 32.0177054, 76.7224485 32.0189062, 76.7192727 32.020107, 76.7165342 32.0211576, 76.713506 32.0224266, 76.7102798 32.0236696, 76.7073382 32.0247964, 76.7056123 32.0253919, 76.7026994 32.0264016, 76.6996551 32.0274499, 76.6974744 32.0282026, 76.6942558 32.0291758, 76.6908628 32.0299739, 76.6880089 32.0304105, 76.685788 32.0306015, 76.6809923 32.0308358, 76.678471 32.0313019, 76.6754428 32.0319681, 76.6721115 32.0330277, 76.6707489 32.0334393)"
505623525,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.6707489 32.0334393, 76.66801977051243 32.03409324386986)"
505623526,way,,"{""cables"": ""3"", ""power"": ""line"", ""voltage"": ""132000""}","LINESTRING (76.66815756516013 32.03420950810386, 76.6707489 32.0334393)"
