osm_id,osm_type,name,tags,geometry_wkt
627729871,way,,"{""amenity"": ""school""}","POLYGON ((76.0921621 32.3213426, 76.0913203 32.320508, 76.0911482 32.3203246, 76.0906582 32.3206629, 76.0906956 32.3208905, 76.0908864 32.3210992, 76.0910285 32.3212256, 76.0911931 32.3213142, 76.0912754 32.3212636, 76.0914251 32.3213616, 76.0915186 32.3213711, 76.0915934 32.3214722, 76.0917131 32.3215544, 76.0918216 32.3215639, 76.0921621 32.3213426))"
773398583,node,Adarsh Adhunik School,"{""amenity"": ""school"", ""name"": ""Adarsh Adhunik School""}",POINT (76.5459635 32.3354768)
773398582,node,Himalayan Public School,"{""amenity"": ""school"", ""name"": ""Himalayan Public School""}",POINT (76.5434688 32.3365412)
540021089,node,"Government Primary School, Hilling","{""amenity"": ""school"", ""name"": ""Government Primary School, Hilling""}",POINT (76.489426 32.3598212)
527810757,way,Govt Middle School,"{""addr:city"": ""Berian"", ""addr:postcode"": ""176301"", ""addr:street"": ""SH 28"", ""amenity"": ""school"", ""name"": ""Govt Middle School""}","POLYGON ((75.9540278 32.4328235, 75.9543162 32.4326458, 75.9543144 32.4326099, 75.954233 32.432586, 75.9541481 32.4326144, 75.9540968 32.432598, 75.9539411 32.4326294, 75.9538632 32.4326637, 75.953826 32.4327011, 75.9537765 32.4327623, 75.9537853 32.4327937, 75.9538543 32.4328325, 75.9539729 32.4328429, 75.9540278 32.4328235))"
527520768,way,Govt Primary School Kalaphaat,"{""amenity"": ""school"", ""name"": ""Govt Primary School Kalaphaat""}","POLYGON ((75.9357447 32.4334245, 75.9359081 32.4334698, 75.9359525 32.4334126, 75.9358684 32.43332, 75.9357353 32.4332865, 75.93567 32.433255, 75.9356233 32.4332254, 75.9355485 32.4332432, 75.9355088 32.4332983, 75.9355042 32.4333673, 75.9355018 32.4334107, 75.9356956 32.4334934, 75.9357447 32.4334245))"
526449957,way,"Govt Senior Secondary School, Kakira","{""addr:city"": ""Kakira"", ""addr:postcode"": ""176101"", ""addr:street"": ""Kakira School Road"", ""amenity"": ""school"", ""name"": ""Govt Senior Secondary School, Kakira"", ""operator"": ""HPSEB""}","POLYGON ((75.9370192 32.4551021, 75.937136 32.4549366, 75.9370052 32.4548262, 75.9369258 32.4548105, 75.9368791 32.4546095, 75.9367203 32.4544479, 75.9366363 32.4544794, 75.9364308 32.4543021, 75.9363187 32.4543652, 75.9361491 32.4544486, 75.9361027 32.4544714, 75.9356763 32.454681, 75.9356135 32.4547119, 75.9357303 32.454838, 75.9357163 32.454905, 75.9357396 32.4550075, 75.9357957 32.4550114, 75.9357443 32.4550705, 75.9357817 32.4551474, 75.935763 32.45524, 75.9358377 32.4553621, 75.9370192 32.4551021))"
5119390994,node,Govt Primary School,"{""addr:city"": ""Kakira"", ""addr:postcode"": ""176101"", ""addr:street"": ""Kakira School Road"", ""amenity"": ""school"", ""name"": ""Govt Primary School""}",POINT (75.9358937 32.4552794)
526447675,way,Govt Girls Middle School Polni,"{""amenity"": ""school"", ""name"": ""Govt Girls Middle School Polni""}","POLYGON ((75.9368955 32.4593548, 75.9372603 32.4594001, 75.9372656 32.4592145, 75.9371959 32.4590742, 75.9370749 32.4590083, 75.9370296 32.4589836, 75.9369223 32.4589203, 75.9367399 32.4591375, 75.936756 32.4592824, 75.9368955 32.4593548))"
526439506,way,Kendriya Vidyalaya,"{""amenity"": ""school"", ""name"": ""Kendriya Vidyalaya""}","POLYGON ((75.9285177 32.4648087, 75.9285458 32.4646944, 75.9282469 32.4645368, 75.927976 32.4646668, 75.9278499 32.4648638, 75.927957 32.4649488, 75.9280834 32.465049, 75.9283169 32.4650451, 75.9285177 32.4648087))"
