osm_id,osm_type,name,tags,geometry_wkt
6712667209,node,Govt. Middle School Soidhar,"{""addr:postcode"": ""172025"", ""addr:street"": ""Panchayat. Dalash"", ""amenity"": ""school"", ""name"": ""Govt. Middle School Soidhar""}",POINT (77.4565331 31.3637143)
6712667235,node,Govt. Middle School,"{""addr:postcode"": ""172033"", ""addr:street"": ""Khani, Panch. Palehi"", ""amenity"": ""school"", ""name"": ""Govt. Middle School""}",POINT (77.4763772 31.3727626)
6712667236,node,Govt. Primary School,"{""addr:postcode"": ""172033"", ""addr:street"": ""Khani, Panch. Palehi"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4768064 31.3730786)
6712667210,node,Govt. Primary School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Sarli Panchayat, Dalash"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4484032 31.3756766)
6712667234,node,Govt. Primary School,"{""addr:postcode"": ""172033"", ""addr:street"": ""Ghorla, Panchayat. Palehi"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4735314 31.3766593)
6712667228,node,Saraswati Vidya Mandir,"{""addr:postcode"": ""172025"", ""addr:street"": ""Dalash"", ""amenity"": ""school"", ""name"": ""Saraswati Vidya Mandir""}",POINT (77.4330897 31.382759)
6712667227,node,Shivalik Public School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Dalash"", ""amenity"": ""school"", ""name"": ""Shivalik Public School""}",POINT (77.4335215 31.3857275)
6712667226,node,Govt. Sr. Sec. School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Dalash"", ""amenity"": ""school"", ""name"": ""Govt. Sr. Sec. School""}",POINT (77.4344147 31.3877754)
6712667232,node,Govt. Middle School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Shagogi, Panch. Biungal"", ""amenity"": ""school"", ""name"": ""Govt. Middle School""}",POINT (77.4484641 31.3879888)
6712667233,node,Govt. Primary School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Shagogi, Panch. Biungal"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4488637 31.3880667)
6712667225,node,Govt. Primary School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Dalash"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4339266 31.388133)
6712667224,node,Aryavart Public School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Dalash"", ""amenity"": ""school"", ""name"": ""Aryavart Public School""}",POINT (77.4346776 31.3889573)
6712667214,node,Govt. Sr. Sec. School,"{""addr:postcode"": ""172025"", ""addr:street"": ""Namhong"", ""amenity"": ""school"", ""name"": ""Govt. Sr. Sec. School""}",POINT (77.4427025 31.4151947)
6712667218,node,Govt. Primary School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Thogi, Panchayat, Bakhnow"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4253004 31.4328565)
6712667219,node,Himalayan Model Sr. Sec. School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni, Panch. Bakhnow"", ""amenity"": ""school"", ""name"": ""Himalayan Model Sr. Sec. School""}",POINT (77.420957 31.437008)
6712667215,node,Himalyan Model School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Kohila"", ""amenity"": ""school"", ""name"": ""Himalyan Model School""}",POINT (77.4455002 31.4815757)
6712667217,node,Govt. Primary School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Jaterh, Panchayat. Kohila"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4478552 31.4827766)
6712667223,node,Govt. Primary School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.4196123 31.4309657)
6712667222,node,Govt. Sr. Sec. School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""Govt. Sr. Sec. School""}",POINT (77.4194702 31.4311419)
6710858057,node,SVM High School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""SVM High School""}",POINT (77.4193292 31.4315852)
6712667221,node,Govt. Sr. Sec. Girls School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""Govt. Sr. Sec. Girls School""}",POINT (77.4181505 31.43238)
6710858056,node,SDA Mission Middle School,"{""addr:city"": ""Panch. Bakhnow"", ""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""SDA Mission Middle School""}",POINT (77.4197143 31.4326757)
6712667220,node,Lawrence Public School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Anni"", ""amenity"": ""school"", ""name"": ""Lawrence Public School""}",POINT (77.4208524 31.4365297)
6712667237,node,Govt. Primary School,"{""addr:postcode"": ""172026"", ""addr:street"": ""Chowaidhar, Panchayat. Kungash"", ""amenity"": ""school"", ""name"": ""Govt. Primary School""}",POINT (77.3751882 31.4425771)
