osm_id,osm_type,name,tags,geometry_wkt
45897418,way,Forest Training Institute,"{""amenity"": ""college"", ""name"": ""Forest Training Institute""}","POLYGON ((76.9089512 31.5261091, 76.909015 31.5259544, 76.908647 31.5258792, 76.9086086 31.5260491, 76.908877 31.5261047, 76.9089512 31.5261091))"
5764482656,node,,"{""amenity"": ""college"", ""name:hi"": ""राजकीय महाविद्यालय सराज (लम्बाथाच)""}",POINT (77.1912291 31.557808)
168484832,way,,"{""amenity"": ""college"", ""description"": ""Vallabh Government College""}","POLYGON ((76.9383494 31.7051606, 76.9378545 31.7052923, 76.9384931 31.7056738, 76.9393356 31.7055748, 76.9391275 31.7051723, 76.9383494 31.7051606))"
168484833,way,ITI Mandi,"{""amenity"": ""college"", ""name"": ""ITI Mandi""}","POLYGON ((76.9349492 31.7066104, 76.9352074 31.7074514, 76.9358043 31.7072741, 76.9357107 31.7063473, 76.9352603 31.706478, 76.9351503 31.7066012, 76.9349492 31.7066104))"
6009778785,node,IIT Mandi South Campus,"{""amenity"": ""college"", ""name"": ""IIT Mandi South Campus""}",POINT (76.9865409 31.7755543)
46081864,way,Lakshman Sen Memorial College,"{""amenity"": ""college"", ""name"": ""Lakshman Sen Memorial College""}","POLYGON ((76.884798 31.508449, 76.8851182 31.5085019, 76.8854548 31.5085047, 76.8856835 31.5084573, 76.8858011 31.5081927, 76.8858632 31.5078557, 76.8858893 31.5075632, 76.8858174 31.507279, 76.8855953 31.5072233, 76.8853567 31.5071983, 76.8850137 31.507215, 76.8847033 31.5072595, 76.8846281 31.5074963, 76.8845791 31.5076245, 76.8845367 31.5077749, 76.8844942 31.5079058, 76.8844779 31.508059, 76.8844746 31.5082289, 76.8844909 31.5083292, 76.8844975 31.5083605, 76.8845068 31.5083881, 76.884798 31.508449))"
416645489,way,JN Government Engineering College,"{""alt_name"": ""Jawaharlal Nehru Government Engineering College"", ""amenity"": ""college"", ""name"": ""JN Government Engineering College""}","POLYGON ((76.878261 31.5145899, 76.8781752 31.5147683, 76.8777836 31.5149832, 76.8779231 31.5154451, 76.877848 31.5155548, 76.8777353 31.516003, 76.8778051 31.516218, 76.8781243 31.5162568, 76.8788538 31.5162157, 76.8795566 31.5157766, 76.879798 31.515269, 76.8795136 31.5141852, 76.8782584 31.5144459, 76.878261 31.5145899))"
583530268,node,Happy Young Industrial Training Center,"{""amenity"": ""college"", ""name"": ""Happy Young Industrial Training Center""}",POINT (76.9056048 31.5309122)
583535707,node,Rajkiya Sanskrit Mahavidyalaya,"{""amenity"": ""college"", ""name"": ""Rajkiya Sanskrit Mahavidyalaya""}",POINT (76.898393 31.5362106)
592281289,way,,"{""amenity"": ""college""}","POLYGON ((76.8656623 31.5634575, 76.8658662 31.5630645, 76.8661666 31.5631056, 76.8665367 31.5617023, 76.8659413 31.5616612, 76.8655121 31.5625251, 76.8651688 31.5632976, 76.8654102 31.5635352, 76.8656623 31.5634575))"
