osm_id,osm_type,name,tags,geometry_wkt
627244361,node,"Saraswati Vidya Mandir, Tattapani","{""amenity"": ""school"", ""name"": ""Saraswati Vidya Mandir, Tattapani""}",POINT (77.0932378 31.248249)
529445724,way,,"{""amenity"": ""school""}","POLYGON ((77.0744839 31.5169394, 77.0744972 31.5166343, 77.0744994 31.5165722, 77.0743249 31.5164498, 77.0743359 31.5163236, 77.074146 31.5162822, 77.0741217 31.5163424, 77.0740289 31.5163443, 77.0738654 31.5165119, 77.0739247 31.5165703, 77.0738648 31.5166564, 77.0739808 31.5167553, 77.0740575 31.516835, 77.0742564 31.5169281, 77.0744839 31.5169394))"
9838844747,node,Government Senior Secondary School,"{""amenity"": ""school"", ""name"": ""Government Senior Secondary School""}",POINT (77.2063586 31.6804691)
626971391,node,"Government Primary School, Hadaboi","{""amenity"": ""school"", ""name"": ""Government Primary School, Hadaboi""}",POINT (77.005252 31.3064367)
45897414,way,"Model School (BSL), Sundernagar","{""amenity"": ""school"", ""name"": ""Model School (BSL), Sundernagar""}","POLYGON ((76.9089733 31.5278033, 76.9098763 31.5271884, 76.9094371 31.5268956, 76.9086372 31.5275314, 76.9089733 31.5278033))"
45819567,way,BSL Senior Secondary School,"{""amenity"": ""school"", ""name"": ""BSL Senior Secondary School""}","POLYGON ((76.9084536 31.5336348, 76.9084998 31.5335233, 76.9085383 31.5334008, 76.9085717 31.533263, 76.9086127 31.5331361, 76.9086281 31.5330333, 76.9086256 31.5329042, 76.9086102 31.5327424, 76.9083561 31.5327227, 76.9083254 31.53272, 76.9081559 31.5327052, 76.9078942 31.532703, 76.9075272 31.5327074, 76.9071243 31.5327227, 76.9067855 31.5327664, 76.9066264 31.5327971, 76.9063878 31.5328714, 76.9065315 31.5330705, 76.9066829 31.5331995, 76.9069138 31.5333789, 76.9071653 31.5334883, 76.9074476 31.5336129, 76.9077479 31.5337026, 76.9080969 31.533766, 76.9083818 31.533812, 76.9084536 31.5336348))"
583530177,node,Anand Marg Public School,"{""amenity"": ""school"", ""name"": ""Anand Marg Public School""}",POINT (76.9024047 31.5340116)
5768020488,node,Trinity Public School,"{""addr:place"": ""Chail Chowk"", ""amenity"": ""school"", ""name"": ""Trinity Public School""}",POINT (76.9997812 31.5675766)
5768020503,node,Swami Vivekanand School,"{""amenity"": ""school"", ""name"": ""Swami Vivekanand School""}",POINT (76.9597773 31.5809096)
1235730357,way,St. Francis Xavier's Convent School,"{""amenity"": ""school"", ""name"": ""St. Francis Xavier's Convent School""}","POLYGON ((76.9440237 31.6363468, 76.9443406 31.6361077, 76.9441597 31.6359339, 76.9438428 31.636173, 76.9440237 31.6363468))"
5577786689,node,Sai Public School,"{""amenity"": ""school"", ""name"": ""Sai Public School""}",POINT (76.9444397 31.702502)
46020961,way,St. Mary's School,"{""amenity"": ""school"", ""name"": ""St. Mary's School""}","POLYGON ((76.8858023 31.5106102, 76.8858795 31.5105988, 76.8859515 31.5106011, 76.8860207 31.510617, 76.886106 31.5106147, 76.8861939 31.5106125, 76.8862845 31.5105852, 76.8863751 31.5105284, 76.886487 31.5104217, 76.8865509 31.5103535, 76.8865909 31.5102604, 76.8866282 31.5101514, 76.8866415 31.5100492, 76.8866522 31.509931, 76.8866708 31.5097561, 76.8866842 31.509638, 76.8854319 31.5096358, 76.8853786 31.509872, 76.8853653 31.5100105, 76.8853866 31.5101491, 76.8854692 31.5104058, 76.8855438 31.5105034, 76.8857037 31.5106488, 76.8858023 31.5106102))"
583541991,node,"Government Senior Secondary School, Sundernagar","{""amenity"": ""school"", ""name"": ""Government Senior Secondary School, Sundernagar""}",POINT (76.885039 31.5210422)
45897682,way,"DAV Public School, Sundernagar","{""amenity"": ""school"", ""name"": ""DAV Public School, Sundernagar""}","POLYGON ((76.8846195 31.5264571, 76.8846882 31.5269022, 76.8850592 31.5268972, 76.8850788 31.5268085, 76.8850847 31.5267482, 76.8850906 31.526688, 76.8850867 31.5266445, 76.8850827 31.526596, 76.885067 31.5265407, 76.8850435 31.5264705, 76.8849905 31.5264052, 76.8846195 31.5264571))"
