osm_id,osm_type,name,tags,geometry_wkt
49397576,way,Old Bus S tand Rampur,"{""amenity"": ""bus_station"", ""check_date"": ""2026-06-08"", ""name"": ""Old Bus S tand Rampur""}","POLYGON ((77.6314811 31.450403, 77.6315431 31.4503624, 77.6315616 31.4503814, 77.6316197 31.4503401, 77.6314231 31.4501109, 77.6312951 31.4501875, 77.6314811 31.450403))"
4857140823,node,Jalori Pass,"{""bus"": ""yes"", ""ele"": ""3132"", ""highway"": ""bus_stop"", ""name"": ""Jalori Pass"", ""name:en"": ""Jalori Pass"", ""public_transport"": ""platform""}",POINT (77.3728916 31.5371527)
4252324391,node,Banjar,"{""amenity"": ""bus_station"", ""name"": ""Banjar""}",POINT (77.344267 31.6441301)
10955930665,node,,"{""highway"": ""bus_stop""}",POINT (77.3085115 31.6634602)
10955970655,node,Manglor,"{""highway"": ""bus_stop"", ""name"": ""Manglor""}",POINT (77.3034071 31.6664581)
10955958462,node,Larji,"{""highway"": ""bus_stop"", ""name"": ""Larji""}",POINT (77.2257165 31.7264477)
540736201,node,Chhingra,"{""highway"": ""bus_stop"", ""name"": ""Chhingra""}",POINT (77.2186107 31.9789643)
2386691358,node,Volvo bus stop,"{""highway"": ""bus_stop"", ""name"": ""Volvo bus stop""}",POINT (77.1511334 31.8793874)
2386691364,node,,"{""highway"": ""bus_stop""}",POINT (77.1498779 31.8811308)
4530661193,node,Sharabai,"{""highway"": ""bus_stop"", ""name"": ""Sharabai"", ""name:en"": ""Sharabai""}",POINT (77.1567518 31.8655863)
540754174,node,,"{""highway"": ""bus_stop""}",POINT (77.1804402 31.9154932)
540749947,node,Cheelaage,"{""highway"": ""bus_stop"", ""name"": ""Cheelaage""}",POINT (77.1809938 31.9279059)
540744123,node,Chhanikkhod,"{""highway"": ""bus_stop"", ""name"": ""Chhanikkhod""}",POINT (77.1863286 31.9574519)
540744006,node,Sharni,"{""highway"": ""bus_stop"", ""name"": ""Sharni""}",POINT (77.2024543 31.9695067)
540736199,node,Shat,"{""highway"": ""bus_stop"", ""name"": ""Shat""}",POINT (77.2148383 31.9717044)
4258089605,node,,"{""highway"": ""bus_stop""}",POINT (77.162989 32.1106946)
6447492688,node,15 Mile,"{""highway"": ""bus_stop"", ""name"": ""15 Mile""}",POINT (77.1545014 32.1380455)
1208679036,node,Bhuntar Bus Stand,"{""amenity"": ""bus_station"", ""name"": ""Bhuntar Bus Stand""}",POINT (77.1505773 31.8812045)
4258020092,node,,"{""highway"": ""bus_stop""}",POINT (77.1478556 31.8831524)
540758666,node,Hathithan,"{""highway"": ""bus_stop"", ""name"": ""Hathithan""}",POINT (77.1505122 31.897649)
1599961252,node,,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""public_transport"": ""platform""}",POINT (77.1350738 31.9399088)
1599968859,node,,"{""highway"": ""bus_stop""}",POINT (77.1391395 31.9402256)
230141925,way,Kullu Bus Station,"{""amenity"": ""bus_station"", ""name"": ""Kullu Bus Station"", ""operator"": ""Himachal Pradesh Road Transport Corporation""}","POLYGON ((77.1108813 31.9609479, 77.1105192 31.9612454, 77.1102133 31.961989, 77.1105856 31.9619223, 77.1107048 31.9618833, 77.1109076 31.9617091, 77.1115141 31.9611596, 77.1114451 31.9610845, 77.1116382 31.960775, 77.1119936 31.9603099, 77.111789 31.9600922, 77.1108146 31.9608584, 77.1108813 31.9609479))"
699828742,node,Kalang,"{""highway"": ""bus_stop"", ""name"": ""Kalang""}",POINT (77.0171511 32.0109076)
10937052394,node,Raison Bus Stop,"{""bench"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Raison Bus Stop"", ""shelter"": ""yes""}",POINT (77.13461 32.0591032)
13898699217,node,Himri Bus Stop,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Himri Bus Stop"", ""public_transport"": ""platform""}",POINT (77.0734851 32.0617036)
540736203,node,Jaan,"{""highway"": ""bus_stop"", ""name"": ""Jaan""}",POINT (77.2262052 31.9863179)
540736205,node,Bagiyanda,"{""highway"": ""bus_stop"", ""name"": ""Bagiyanda""}",POINT (77.2338766 31.99458)
540736208,node,Jari,"{""highway"": ""bus_stop"", ""name"": ""Jari"", ""shelter"": ""no"", ""tactile_paving"": ""no""}",POINT (77.2449163 31.9964505)
4345397993,node,Barshani,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""Barshani"", ""public_transport"": ""station""}",POINT (77.4417351 32.0007959)
773601560,node,Barshaini,"{""highway"": ""bus_stop"", ""name"": ""Barshaini""}",POINT (77.4402444 32.0009996)
7184090067,node,,"{""highway"": ""bus_stop""}",POINT (77.2539418 32.0023909)
3718071730,node,Kasol,"{""highway"": ""bus_stop"", ""name"": ""Kasol"", ""shelter"": ""yes""}",POINT (77.3150565 32.0101937)
540736213,node,Kasol,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Kasol"", ""public_transport"": ""stop_position"", ""shelter"": ""no""}",POINT (77.3159401 32.010561)
11990484635,node,Kasol private bus stand,"{""amenity"": ""bus_station"", ""name"": ""Kasol private bus stand""}",POINT (77.3183387 32.0113276)
4045250513,node,Shared taxi stand,"{""highway"": ""bus_stop"", ""name"": ""Shared taxi stand""}",POINT (77.1607186 32.1558524)
12918572670,node,Manali Volvo Bus stand,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Manali Volvo Bus stand"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (77.1878193 32.2325528)
9852154217,node,ISBT,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""ISBT"", ""name:en"": ""ISBT Manali"", ""shelter"": ""yes""}",POINT (77.1898184 32.2440615)
75891465,way,Manali Inter State Bus Terminus,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""internet_access"": ""yes"", ""internet_access:fee"": ""yes"", ""name"": ""Manali Inter State Bus Terminus"", ""public_transport"": ""station"", ""wheelchair"": ""no""}","POLYGON ((77.1897046 32.2442076, 77.1899215 32.2442412, 77.1901192 32.24431, 77.1902443 32.2441211, 77.1900423 32.2440309, 77.1899774 32.2439705, 77.1898678 32.2439303, 77.189671 32.2439325, 77.1894876 32.2439169, 77.189507 32.2440733, 77.1895402 32.2441888, 77.1897046 32.2442076))"
12944854803,node,Private Shared Taxi to Leh,"{""amenity"": ""bus_station"", ""name"": ""Private Shared Taxi to Leh""}",POINT (77.1900373 32.2443476)
6839394790,node,Tuk tuk to old Manali (150 Rs),"{""bus"": ""yes"", ""check_date"": ""2022-08-01"", ""highway"": ""bus_stop"", ""name"": ""Tuk tuk to old Manali (150 Rs)"", ""name:en"": ""Tuk tuk to old Manali. 150 Rs (08-2022)"", ""public_transport"": ""platform""}",POINT (77.1898616 32.2457645)
12942042709,node,Auto Rickshaw Stand Manali,"{""bench"": ""no"", ""bin"": ""no"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Auto Rickshaw Stand Manali"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tram"": ""yes""}",POINT (77.1902194 32.2461929)
12948685302,node,Shared Taxi Bus Stop,"{""highway"": ""bus_stop"", ""name"": ""Shared Taxi Bus Stop""}",POINT (77.1800833 32.2526584)
4409043192,node,,"{""highway"": ""bus_stop"", ""operator"": ""HRTCHP""}",POINT (77.15809 32.3150918)
