osm_id,osm_type,name,tags,geometry_wkt
5770208553,node,Kangu,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Kangu"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (76.8441574 31.4303398)
5763478810,node,,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (76.8845372 31.5174006)
5763458283,node,,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (76.8841681 31.5174533)
583220817,node,BBMB Colony Bus Stop,"{""highway"": ""bus_stop"", ""name"": ""BBMB Colony Bus Stop"", ""shelter"": ""yes""}",POINT (76.9083737 31.5282244)
583228553,node,BBMB Colony Bus Station,"{""amenity"": ""bus_station"", ""name"": ""BBMB Colony Bus Station""}",POINT (76.904732 31.533723)
11126807527,node,,"{""highway"": ""bus_stop""}",POINT (76.8705924 31.5340124)
45852248,way,Sundernagar Bus Station,"{""amenity"": ""bus_station"", ""name"": ""Sundernagar Bus Station""}","POLYGON ((76.8923815 31.5373918, 76.8924326 31.5372124, 76.8924867 31.5369895, 76.8925775 31.5364463, 76.8921012 31.5363921, 76.8919936 31.5366794, 76.8919666 31.5367614, 76.8919215 31.5368972, 76.8918884 31.53701, 76.8918523 31.5371509, 76.8918162 31.5373123, 76.8923815 31.5373918))"
11126772757,node,,"{""highway"": ""bus_stop""}",POINT (76.8518798 31.5400712)
8688492570,node,Shildi Bus Stop,"{""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Shildi Bus Stop"", ""public_transport"": ""platform""}",POINT (76.778585 31.5349723)
2380803095,node,,"{""amenity"": ""bus_station""}",POINT (76.7355566 31.6980804)
1083320251,way,,"{""amenity"": ""bus_station""}","POLYGON ((76.6534583 31.8548738, 76.6538928 31.8546915, 76.6538054 31.8545412, 76.6533709 31.8547234, 76.6534583 31.8548738))"
493705083,way,Joginder Nagar Bus Depot,"{""amenity"": ""bus_station"", ""internet_access"": ""wlan"", ""name"": ""Joginder Nagar Bus Depot"", ""name:en"": ""Joginder Nagar ISBT"", ""name:hi"": ""जोगेंदर नगर बस अड्डा""}","POLYGON ((76.7891014 31.9902426, 76.7892784 31.9904883, 76.7898336 31.9903563, 76.7896485 31.9901857, 76.7892596 31.9900288, 76.7891014 31.9902426))"
11126804282,node,,"{""highway"": ""bus_stop""}",POINT (76.8382231 31.5402792)
5770208462,node,Naresh Chowk,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Naresh Chowk"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (76.8976917 31.544242)
11126805846,node,Leda,"{""highway"": ""bus_stop"", ""name"": ""Leda""}",POINT (76.8253652 31.5550487)
11126761670,node,,"{""highway"": ""bus_stop""}",POINT (76.8223389 31.5876257)
11126799259,node,,"{""highway"": ""bus_stop""}",POINT (76.8210917 31.5962018)
11126808278,node,,"{""highway"": ""bus_stop""}",POINT (76.8269138 31.601407)
561088471,node,Galma,"{""highway"": ""bus_stop"", ""name"": ""Galma"", ""shelter"": ""yes""}",POINT (76.8747614 31.6030526)
1187612642,node,Bus Stand,"{""amenity"": ""bus_station"", ""name"": ""Bus Stand""}",POINT (76.834244 31.6329543)
4143915086,node,Naina Devi Bus Stop,"{""highway"": ""bus_stop"", ""name"": ""Naina Devi Bus Stop""}",POINT (76.8174385 31.6409868)
5768020731,node,,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""public_transport"": ""platform"", ""shelter"": ""yes""}",POINT (76.9332164 31.7070069)
5122376439,node,,"{""highway"": ""bus_stop""}",POINT (76.9342561 31.7131681)
