osm_id,osm_type,name,tags,geometry_wkt
2972388752,node,Tattapani,"{""name"": ""Tattapani"", ""place"": ""town"", ""wikidata"": ""Q7688385""}",POINT (77.0878766 31.2487174)
342116421,node,Nerchowk,"{""alt_name"": ""Ner Chowk"", ""name"": ""Nerchowk"", ""place"": ""town""}",POINT (76.9142821 31.6075891)
5122373892,node,Balichowki,"{""name"": ""Balichowki"", ""place"": ""town""}",POINT (77.2797043 31.6892002)
5118693983,node,Padhar,"{""name"": ""Padhar"", ""name:hi"": ""पधर"", ""place"": ""town""}",POINT (76.9148453 31.880768)
3066595122,node,Sundarnagar,"{""name"": ""Sundarnagar"", ""name:hi"": ""सुन्दरनगर"", ""place"": ""town""}",POINT (76.8848915 31.5181989)
1187799389,node,Rewalsar,"{""addr:postcode"": ""175023"", ""alt_name"": ""Tso Pema"", ""historic"": ""yes"", ""name"": ""Rewalsar"", ""place"": ""town"", ""population"": ""1369"", ""tourism"": ""yes"", ""wikidata"": ""Q2317112"", ""wikipedia"": ""en:Rewalsar, India""}",POINT (76.8332983 31.6324806)
4144993856,node,Durgapur,"{""addr:postcode"": ""175049"", ""name"": ""Durgapur"", ""name:hi"": ""दुर्गापुर"", ""name:pa"": ""ਦੁਰਗਾਪੁਰ"", ""place"": ""town""}",POINT (76.8256984 31.6583488)
2380803047,node,Sarkaghat,"{""name"": ""Sarkaghat"", ""place"": ""town"", ""wikidata"": ""Q2558713"", ""wikipedia"": ""en:Sarkaghat""}",POINT (76.7377982 31.6997882)
342118390,node,Joginder Nagar,"{""alt_name"": ""Jogindernagar"", ""name"": ""Joginder Nagar"", ""name:hi"": ""जोगिंदर नगर"", ""place"": ""town"", ""wikidata"": ""Q2087722"", ""wikipedia"": ""en:Jogindernagar""}",POINT (76.7929928 31.9901487)
342118380,node,Chauntra,"{""name"": ""Chauntra"", ""name:hi"": ""चौंतड़ा"", ""place"": ""town"", ""wikidata"": ""Q5088335""}",POINT (76.735512 32.0145466)
