osm_id,osm_type,name,tags,geometry_wkt
8809038101,node,Jeora,"{""name"": ""Jeora"", ""place"": ""village""}",POINT (77.0939398 31.2485254)
626971143,node,Bali,"{""name"": ""Bali"", ""name:ja"": ""バリ"", ""place"": ""village""}",POINT (77.0346467 31.2815041)
2972385996,node,Behli,"{""ele"": ""1349"", ""name"": ""Behli"", ""place"": ""village""}",POINT (77.0316696 31.3022327)
626971348,node,Hada,"{""name"": ""Hada"", ""place"": ""village""}",POINT (77.0061314 31.3052844)
626971389,node,Boi,"{""name"": ""Boi"", ""place"": ""village""}",POINT (77.0052901 31.3063391)
626961245,node,Chalaug,"{""name"": ""Chalaug"", ""place"": ""village""}",POINT (76.993349 31.3111427)
626949017,node,Doghari,"{""name"": ""Doghari"", ""place"": ""village""}",POINT (76.9803615 31.3195088)
2972388751,node,chadog,"{""ele"": ""1850"", ""name"": ""chadog"", ""place"": ""village""}",POINT (77.0298126 31.3227274)
2972363954,node,kinder,"{""ele"": ""1620"", ""name"": ""kinder"", ""place"": ""village""}",POINT (77.0352576 31.3230668)
2972385994,node,jandrehad,"{""ele"": ""1905"", ""name"": ""jandrehad"", ""place"": ""village""}",POINT (77.0268435 31.3302258)
3098608739,node,Niyari,"{""name"": ""Niyari"", ""place"": ""village""}",POINT (76.9455786 31.3353791)
3066595116,node,Ayn,"{""name"": ""Ayn"", ""place"": ""village""}",POINT (76.8770525 31.3547167)
626948808,node,Kalda,"{""name"": ""Kalda"", ""place"": ""village""}",POINT (76.9564784 31.3314624)
2972388750,node,feglu,"{""name"": ""feglu"", ""place"": ""village""}",POINT (77.0245915 31.3907685)
2972363952,node,nehri,"{""ele"": ""2121"", ""name"": ""nehri"", ""place"": ""village""}",POINT (77.0277894 31.4008022)
9326928732,node,"Badhreda , Khil","{""name"": ""Badhreda , Khil"", ""place"": ""village""}",POINT (77.014149 31.4575636)
550207654,node,Rohanda,"{""name"": ""Rohanda"", ""place"": ""village""}",POINT (77.0274536 31.4615886)
2972388748,node,Ghidi,"{""ele"": ""2906"", ""name"": ""Ghidi"", ""place"": ""village""}",POINT (76.996994 31.4776834)
550176611,node,Jai Devi,"{""name"": ""Jai Devi"", ""place"": ""village""}",POINT (76.9511815 31.501425)
7932343660,node,Luhain,"{""name"": ""Luhain"", ""place"": ""village""}",POINT (76.9911145 31.5053491)
7932343669,node,Barjohru,"{""name"": ""Barjohru"", ""place"": ""village""}",POINT (77.0286655 31.54504)
7932399385,node,Kharans,"{""name"": ""Kharans"", ""place"": ""village""}",POINT (77.0338154 31.5543658)
7998767529,node,Pangna,"{""name"": ""Pangna"", ""place"": ""village""}",POINT (77.1234226 31.3855341)
2972363951,node,pandar,"{""ele"": ""2218"", ""name"": ""pandar"", ""place"": ""village""}",POINT (77.0443954 31.4179611)
2972385993,node,bada,"{""ele"": ""2218"", ""name"": ""bada"", ""place"": ""village""}",POINT (77.0407486 31.4236641)
2972388749,node,pandar,"{""name"": ""pandar"", ""place"": ""village""}",POINT (77.0534883 31.4353543)
2972363950,node,chowki,"{""ele"": ""2227"", ""name"": ""chowki"", ""place"": ""village""}",POINT (77.0496456 31.4436007)
