"name_of
district_tahsil_
sub_tahsil","number_of_villages_as
per",nan,number_of_towns,nan_1,remarks,source_page,source_file,district_name,alphabetical_list_of_villages_cd_block_chauntra,nan_2,on_rs,"egalliv
eman","on
edoc
noitacol","dednuor
seratceh
ni
_ecalp
egalliv
lamiced
eht
fo
aera_eno
latot_ot
pu","
susnec
1102
_
noitalupop
latot","susnec
1102_
sdlohesuoh
fo
rebmun",unnamed,nan_3,"number_of_educational_amenities_available_if_not
available_within_the_village,_the_distance_range_code
viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+
kms_of_nearest_place_where_facility_is_available_is
given",nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,"on
_rs","number_of_medical_amenities_available_
_if_not_available_within_the_village_,_the
distance_range_code_viz;_a_for_<_5_kms,
b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is
given","number_of_non_government
medical_amenities_available",availability_of_drinking_water_yes_no,unnamed_1,"availability_of_toilet_&
others_yes_no","communication_and_transport_facilities_if_amenities
available_code_yes_is_given_except_for_village_pin_cod,_if
not_available_within_the_village,_the_distance_range_code
viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is_given","village_connected_to_highways,village_roads,_banks_&_credit
societies_if_amenities_available_code_yes_is_given,_if_not
available_within_the_village_,_the_distance_range_code_viz;_a
for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of_nearest
place_where_facility_is_available_is_given","availability_of_miscellaneous_facilities_if_amenities_available_code_
yes_is_given,_if_not_available_within_the_village_,_the_distance_range
code_viz;_a_for_<_5_kms,_b_for_5_10_kms_and_c_for_10+_kms_of
nearest_place_where_facility_is_available_is_given","availability_of_miscellaneous
facilities_contd…","availability_of_electricity
_yes_no",land_use,"name_of_three
most
important
commodities
manufactured","egalliv
fo
eman",alphabetical_list_of_villages_cd_block_drang,alphabetical_list_of_villages_cd_block_dharmpur,alphabetical_list_of_villages_cd_block_gopalpur,alphabetical_list_of_villages_cd_block_sundarnagar,alphabetical_list_of_villages_cd_block_balh,alphabetical_list_of_villages_cd_block_mandi_sadar,alphabetical_list_of_villages_cd_block_gohar,alphabetical_list_of_villages_cd_block_seraj,alphabetical_list_of_villages_cd_block_karsog,on_ls,"kcolb
_d_c
fo
eman","kcolb
_d
_c
eht
ni
segalliv
detibahni
fo
rebmun
latot","kcolb
_d_c
fo
noitalupop
latot",villages_having_medical_institutions,nan_10,nan_11,nan_12,"kcolb
dc
fo
eman",yrasnepsid,"latipsoh
yraniretev","cinilc
htlaeh
elibom","ertnec
eraflew
ylimaf","eerged
sbbm
htiw_
renoitcarp
lacidem","eerged
rehto
htiw_
renoitcarp
lacidem","pohs
enicidem",srehto,"ytilicaf
lacidem
on",villages_having_drinking_water,villages_having_post_&_telegraph,villages_having_transport,credit_societies,"villages_having_recreation
facility",miscellaneous,"villages
having_power
supply",sl_no,name_of_c_d_block,total_number_of_inhabited_villages,number_of_primary_schools,"name_of_c_d_
block","total_number
of_inhabited
villages",type_of_educational_institutions_available,"name_of_c_d
_block",number_of_villages_with_different_sources_of_drinking_water_facilities_available,"total
villages","uninhabited
villages","inhabited
villages","number_of_inhabited_villages_having_no
scheduled_castes_population","number_of_inhabited_villages_having_no
scheduled_tribes_population","range_of_scheduled_castes_population
_percentages",location_code_number,name_of_village,"range_of_scheduled_tribes_population
_percentages","on
_ls","nwot
fo
sutats
civic
dna
eman
,ssalc","sdnalsi_noitats
ecilop
_lishat
_kulat
fo
eman
_cte","mk
_qs_
aera","sselesuoh
gnidulcni
_susnec
sdlohesuoh
1102_
fo_sdlohesuoh
rebmun","susnec
1102_
noitalupop
setsac
deludehcs","susnec
1102_
noitalupop
sebirt
deludehcs",1791,1891,1991,1002,1102,"susnec
1102_
ytisned",sex_ratio,"sl_
no",name_of_town,physical_aspects,railway_station,bus_route,"charitable
hospital_nursing
home_numbers","medicine_shop
_numbers","management
institute_
colleges",polytechnics,"recognised
shorthand,
typewriting_and
vocational
training
institutions","non_formal
education
center
_sarva
shiksha
abhiyan
center","special_school_for
disabled",others,"no_of_orphanage
home","working
women's
hostles","no_of_old_age
home",stadium,"cinema
theatre","auditorium_
community
halls","public
libraries","reading
rooms",names_of_three_most_important_commodities_manufactured,number_of_banks,"number_of
agricultural
credit
societies","number_of
non_agricultural
credit_societies",statement,system_of_drainage,number_of_latrines,"el
no_of_tap
points_public
hydrants
installed_for
supply_of
protected_water",ectricity_number_of_connectio,"ns_
sl_
no"
,"2001
Census","Census
2011","2001
Census","Census
2011",,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandi,"3,338","3,338",5,5,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padhar,232,232,-,-,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogindarnagar,219,219,1,1,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lad Bharol,147,147,-,-,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandhol,66,59,-,-,"7 Villages transferred to
Dharmpur.",24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharmpur,92,99,-,-,"7 Villages merged from
Sandhol.",24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotli,66,66,-,-,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarkaghat,274,180,1,1,"94 Villages transferred to
Bhadrota.",24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadrota,-,94,,,"94 Villages merged from
Sarkaghat.",24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwara,139,139,-,-,,24,mandi_mandi_dchb_part_a_village_town_directory.pdf,Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
