File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2004353000000_aid0001,_250m_16_days_NDVI,aid0001,2004-12-18,87523.0,-0.1753,0.9912,"(-0.1753,0.9912)",0.5588449,0.1099135,0.012081,0.6319,0.8461,0.5607,0.2732,0.4884
MOD13Q1_061__250m_16_days_NDVI_doy2005001000000_aid0001,_250m_16_days_NDVI,aid0001,2005-01-01,87528.0,-0.0929,0.9941,"(-0.0929,0.9941)",0.5535595,0.1178841,0.0138967,0.6317,0.864,0.55865,0.2456,0.4768
MOD13Q1_061__250m_16_days_NDVI_doy2005017000000_aid0001,_250m_16_days_NDVI,aid0001,2005-01-17,87504.0,-0.064,0.9966,"(-0.064,0.9966)",0.4971274,0.1863392,0.0347223,0.6229,0.9172,0.5446,0.1322,0.4266
MOD13Q1_061__250m_16_days_NDVI_doy2005033000000_aid0001,_250m_16_days_NDVI,aid0001,2005-02-02,87523.0,-0.1829,0.9871,"(-0.1829,0.9871)",0.5011028,0.1654206,0.027364,0.6108,0.8786,0.533,0.1643,0.4322
MOD13Q1_061__250m_16_days_NDVI_doy2005049000000_aid0001,_250m_16_days_NDVI,aid0001,2005-02-18,87515.0,-0.0688,0.9941,"(-0.0688,0.9941)",0.5104709,0.1431482,0.0204914,0.6074,0.864,0.5284,0.1761,0.4348
MOD13Q1_061__250m_16_days_NDVI_doy2005065000000_aid0001,_250m_16_days_NDVI,aid0001,2005-03-06,87527.0,-0.0819,0.992,"(-0.0819,0.992)",0.5494229,0.1231009,0.0151538,0.6332,0.8629,0.5592,0.2492,0.4796
MOD13Q1_061__250m_16_days_NDVI_doy2005081000000_aid0001,_250m_16_days_NDVI,aid0001,2005-03-22,87531.0,-0.1365,0.9068,"(-0.1365,0.9068)",0.5661055,0.1012866,0.010259,0.634,0.8196,0.5745,0.322,0.5092
MOD13Q1_061__250m_16_days_NDVI_doy2005097000000_aid0001,_250m_16_days_NDVI,aid0001,2005-04-07,87531.0,0.0095,0.8733,"(0.0095,0.8733)",0.5229139,0.0797026,0.0063525,0.5732,0.7163,0.5254,0.3347,0.4778
MOD13Q1_061__250m_16_days_NDVI_doy2005113000000_aid0001,_250m_16_days_NDVI,aid0001,2005-04-23,87531.0,-0.0434,0.9963,"(-0.0434,0.9963)",0.5526855,0.0912977,0.0083353,0.6101,0.7815,0.5501,0.325,0.4958
MOD13Q1_061__250m_16_days_NDVI_doy2005129000000_aid0001,_250m_16_days_NDVI,aid0001,2005-05-09,87531.0,-0.0195,0.9403,"(-0.0195,0.9403)",0.5360711,0.1047211,0.0109665,0.6098,0.8313,0.529,0.2393,0.4616
MOD13Q1_061__250m_16_days_NDVI_doy2005145000000_aid0001,_250m_16_days_NDVI,aid0001,2005-05-25,87531.0,0.0959,0.986,"(0.0959,0.986)",0.531243,0.130537,0.0170399,0.63935,0.9361,0.5093,0.1252,0.4295
MOD13Q1_061__250m_16_days_NDVI_doy2005161000000_aid0001,_250m_16_days_NDVI,aid0001,2005-06-10,87531.0,-0.0067,0.9888,"(-0.0067,0.9888)",0.5098766,0.1374883,0.018903,0.6202,0.9366,0.4798,0.0818,0.4044
