,importance
day_of_year,884.5195582211018
rolling_precip_72h,859.5246309116483
rolling_precip_24h,501.16061794757843
surface_pressure,446.007664850913
dewpoint_2m,358.04537557065487
cloud_cover,298.50738453678787
relative_humidity,256.0036637678277
temperature_2m,250.00290270522237
temp_dewpoint_spread,246.50404809368774
wind_v_10m,232.50365588790737
wind_speed_10m,206.00211869063787
wind_direction_10m,203.50178553292062
wind_gust_ratio,193.00176718086004
wind_u_10m,180.50367771461606
rolling_precip_6h,179.509989047423
wind_gusts_10m,179.50283102178946
hour_sin,133.00301876314916
month_sin,130.02426635287702
rolling_ratio_3_24,121.0023197173141
hour,110.00217455462553
hour_cos,102.5027289353311
month_cos,89.52689892984927
rolling_precip_3h,64.50205949577503
precipitation_openmeteo,49.00174734625034
cape,46.508080770261586
precip_lag_6h,41.50260555325076
precip_acceleration,40.50139336427674
rain_openmeteo,33.001160345971584
humidity_cape_interact,30.51137971598655
month,25.00868067704141
precip_lag_3h,25.00169822596945
precip_lag_1h,21.00107264192775
is_monsoon,16.5919533893466
season,1.5030601830221713
snowfall,0.0020293432753533125
