,importance
day_of_year,450
rolling_precip_72h,281
rolling_precip_24h,182
surface_pressure,116
dewpoint_2m,104
month_sin,80
cloud_cover,53
relative_humidity,52
month_cos,48
temperature_2m,44
wind_v_10m,41
temp_dewpoint_spread,35
rolling_precip_6h,35
cape,32
wind_u_10m,21
is_monsoon,18
humidity_cape_interact,17
wind_speed_10m,14
wind_direction_10m,14
hour_sin,13
hour,13
wind_gusts_10m,12
precip_acceleration,6
rolling_ratio_3_24,6
month,6
hour_cos,5
precip_lag_6h,5
rolling_precip_3h,3
precip_lag_3h,1
precip_lag_1h,1
precipitation_openmeteo,1
season,1
snowfall,0
rain_openmeteo,0
wind_gust_ratio,0
