feature,mean,std
temperature_2m,21.295291,7.938502
dewpoint_2m,15.342788,6.016946
relative_humidity,62.875457,21.014137
surface_pressure,939.640763,5.307009
wind_speed_10m,1.527711,0.702658
wind_gusts_10m,15.142335,5.425867
wind_u_10m,-0.381042,1.320921
wind_v_10m,-0.300253,0.920571
cloud_cover,0.386458,0.386094
cape,19.658053,108.221725
precipitation_openmeteo,0.122886,0.620402
rain_openmeteo,0.122047,0.616175
snowfall,0.000588,0.019787
rolling_precip_3h,0.368658,1.486053
rolling_precip_6h,0.737317,2.564961
rolling_precip_24h,2.949161,7.470203
rolling_precip_72h,8.84227,15.70727
precip_lag_1h,0.122886,0.620402
precip_lag_3h,0.122886,0.620402
precip_lag_6h,0.122886,0.620402
temp_dewpoint_spread,5.952504,6.03253
wind_gust_ratio,10.265816,4.250553
precip_acceleration,-0.0,0.706597
humidity_cape_interact,10.654493,60.191578
rolling_ratio_3_24,0.060394,0.172279
